exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,latest_close,avg_volume,liquidity_status,liquidity_reason
BSE,STOCK,GROWW,Groww,,544603.0,B,GROWW.BO,190.1999969482422,6619527.9,PASS,PASS
BSE,STOCK,LENSKART,Lenskart Solutions,,544600.0,B,LENSKART.BO,671.6500244140625,3371126.1,PASS,PASS
BSE,STOCK,CUPID,Cupid,,530843.0,A,CUPID.BO,279.70001220703125,3115844.7,PASS,PASS
BSE,STOCK,COALINDIA,Coal India,,533278.0,A,COALINDIA.BO,419.1499938964844,2511570.3,PASS,PASS
BSE,STOCK,TATASTEEL,Tata Steel,,500470.0,A,500470.BO,185.8999938964844,2051222.0,PASS,PASS
BSE,STOCK,MEESHO,Meesho,,544632.0,B,MEESHO.BO,209.6000061035156,1911345.95,PASS,PASS
BSE,STOCK,VMM,Vishal Mega Mart,,544307.0,A,VMM.BO,106.6999969482422,1894650.55,PASS,PASS
BSE,STOCK,URBANCO,Urban Company,,544515.0,A,URBANCO.BO,177.64999389648438,1850691.05,PASS,PASS
BSE,STOCK,TENNIND,Tenneco Clean Air,,544612.0,B,TENNIND.BO,515.9000244140625,1784292.0,PASS,PASS
BSE,STOCK,ZEEL,Zee Entertainment,,505537.0,A,ZEEL.BO,91.5999984741211,1780518.85,PASS,PASS
BSE,STOCK,ETERNAL,Eternal,,543320.0,A,ETERNAL.BO,326.54998779296875,1744563.5,PASS,PASS
BSE,STOCK,PINELABS,Pine Labs,,544606.0,B,PINELABS.BO,156.5,1549473.2,PASS,PASS
BSE,STOCK,PFC,Power Finance Corporation,,532810.0,A,PFC.BO,345.8999938964844,1520693.5,PASS,PASS
BSE,STOCK,SWIGGY,Swiggy,,544285.0,A,SWIGGY.BO,270.25,1337931.85,PASS,PASS
BSE,STOCK,GMRAIRPORT,GMR Airports,,532754.0,A,GMRAIRPORT.BO,96.61000061035156,1314528.45,PASS,PASS
BSE,STOCK,AYE,Aye Finance,,544699.0,B,AYE.BO,181.3000030517578,1273355.5,PASS,PASS
BSE,STOCK,UJJIVANSFB,Ujjivan Small Finance Bank,,542904.0,A,UJJIVANSFB.BO,62.97999954223633,1265972.45,PASS,PASS
BSE,STOCK,IDFCFIRSTB,IDFC First Bank,,539437.0,A,IDFCFIRSTB.BO,87.11000061035156,1263332.8,PASS,PASS
BSE,STOCK,HINDCOPPER,Hindustan Copper,,513599.0,A,HINDCOPPER.BO,517.9500122070312,1261866.75,PASS,PASS
BSE,STOCK,NMDC,NMDC,,526371.0,A,NMDC.BO,84.4000015258789,1227599.95,PASS,PASS
BSE,STOCK,ADANIPOWER,Adani Power,,533096.0,A,ADANIPOWER.BO,209.8000030517578,1182660.3,PASS,PASS
BSE,STOCK,MAHABANK,Bank of Maharashtra,,532525.0,A,MAHABANK.BO,86.33000183105469,1121156.05,PASS,PASS
BSE,STOCK,JSWENERGY,JSW Energy,,533148.0,A,JSWENERGY.BO,536.0,999914.9,PASS,PASS
BSE,STOCK,SHADOWFAX,Shadowfax Technologies,,544685.0,B,SHADOWFAX.BO,259.8500061035156,968030.7,PASS,PASS
BSE,STOCK,INFY,Infosys,,500209.0,A,500209.BO,1096.949951171875,947593.65,PASS,PASS
BSE,STOCK,INOXWIND,Inox Wind,,539083.0,A,INOXWIND.BO,73.94999694824219,947484.05,PASS,PASS
BSE,STOCK,JIOFIN,Jio Financial Services,,543940.0,A,JIOFIN.BO,237.6999969482422,915737.2,PASS,PASS
BSE,STOCK,MOTHERSON,Samvardhana Motherson International,,517334.0,A,MOTHERSON.BO,162.4499969482422,914003.05,PASS,PASS
BSE,STOCK,RELIANCE,Reliance Industries,,500325.0,A,500325.BO,1326.5,913820.15,PASS,PASS
BSE,STOCK,SHUKRAPHAR,Shukra Pharmaceuticals,,524632.0,B,SHUKRAPHAR.BO,52.0,893170.6,PASS,PASS
