signal_date,entry_date,exit_date,direction,entry_price,stop_loss,target,exit_price,raw_exit_price,exit_reason,holding_days,gross_pnl_pct,transaction_cost_pct,net_pnl_pct,pnl_pct,symbol,exchange,company_name
2024-10-01,2024-10-03,2024-10-03,LONG,138.46919389343262,135.0074640460968,145.39265358810425,134.93996031407377,135.0074640460968,STOP_LOSS,1,-2.5487499999999863,0.15,-2.698749999999986,-2.698749999999986,ZEEL.NS,NSE,Zee Entertainment Enterprises Limited
2024-09-30,2024-10-01,2024-10-04,SHORT,16.39179961872101,16.80159460918903,15.572209637784958,15.579995742603849,15.572209637784958,TARGET,3,4.952500000000015,0.15,4.802500000000014,4.802500000000014,CUPID.BO,BSE,Cupid
2024-09-30,2024-10-01,2024-10-04,LONG,7.439717870235443,7.253724923479557,7.811703763747215,7.807797911865342,7.811703763747215,TARGET,3,4.947500000000013,0.15,4.797500000000013,4.797500000000013,SHUKRAPHAR.BO,BSE,Shukra Pharmaceuticals
2024-10-01,2024-10-03,2024-10-04,LONG,138.11902805328367,134.66605235195158,145.02497945594786,134.59871932577562,134.66605235195158,STOP_LOSS,2,-2.548749999999989,0.15,-2.698749999999989,-2.698749999999989,ZEEL.BO,BSE,Zee Entertainment
2024-10-01,2024-10-03,2024-10-07,SHORT,16.01798606967926,16.41843572142124,15.217086766195296,16.42664493928195,16.41843572142124,STOP_LOSS,3,-2.5512499999999827,0.15,-2.7012499999999826,-2.7012499999999826,CUPID.NS,NSE,Cupid Limited
2024-10-01,2024-10-03,2024-10-07,LONG,260.18001278686523,253.67551246719358,273.18901342620853,253.54867471096,253.67551246719358,STOP_LOSS,3,-2.5487500000000023,0.15,-2.698750000000002,-2.698750000000002,EPL.BO,BSE,EPL
2024-10-07,2024-10-08,2024-10-08,SHORT,480.009875,492.010121875,456.00938125,492.25612693593746,492.010121875,STOP_LOSS,1,-2.5512499999999867,0.15,-2.7012499999999866,-2.7012499999999866,COALINDIA.BO,BSE,Coal India
2024-10-07,2024-10-08,2024-10-08,SHORT,334.83250000000004,343.20331250000004,318.09087500000004,343.37491415625004,343.20331250000004,STOP_LOSS,1,-2.551250000000001,0.15,-2.701250000000001,-2.701250000000001,JIOFIN.BO,BSE,Jio Financial Services
2024-10-07,2024-10-08,2024-10-08,SHORT,334.582625,342.94719062499996,317.85349375,343.11866422031244,342.94719062499996,STOP_LOSS,1,-2.5512499999999796,0.15,-2.7012499999999795,-2.7012499999999795,JIOFIN.NS,NSE,Jio Financial Services Limited
2024-10-07,2024-10-08,2024-10-08,SHORT,125.98697805023194,129.13665250148773,119.68762914772034,129.20122082773847,129.13665250148773,STOP_LOSS,1,-2.551249999999988,0.15,-2.701249999999988,-2.701249999999988,ZEEL.BO,BSE,Zee Entertainment
2024-10-07,2024-10-08,2024-10-08,SHORT,125.98697805023194,129.13665250148773,119.68762914772034,129.20122082773847,129.13665250148773,STOP_LOSS,1,-2.551249999999988,0.15,-2.701249999999988,-2.701249999999988,ZEEL.NS,NSE,Zee Entertainment Enterprises Limited
2024-10-07,2024-10-08,2024-10-09,SHORT,744.0777872009278,762.679731880951,706.8738978408813,763.0610717468913,762.679731880951,STOP_LOSS,2,-2.551249999999985,0.15,-2.701249999999985,-2.701249999999985,ICICIPRULI.BO,BSE,ICICI Prudential Life Insurance
2024-10-24,2024-10-25,2024-10-25,LONG,440.2700127868652,429.26326246719356,462.2835134262085,462.0523716694954,462.2835134262085,TARGET,1,4.947500000000011,0.15,4.797500000000011,4.797500000000011,ASTERDM.BO,BSE,Aster DM Quality Care
2024-10-23,2024-10-24,2024-10-31,SHORT,1871.114023803711,1917.8918743988036,1777.5583226135254,1778.4471017748322,1777.5583226135254,TARGET,6,4.952500000000002,0.15,4.802500000000002,4.802500000000002,500209.BO,BSE,Infosys
2024-10-24,2024-10-25,2024-11-04,LONG,877.9387499999999,855.99028125,921.8356875,855.562286109375,855.99028125,STOP_LOSS,7,-2.5487499999999894,0.15,-2.6987499999999893,-2.6987499999999893,HDFCBANK.NS,NSE,HDFC Bank Limited
2024-11-05,2024-11-06,2024-11-06,LONG,220.6602780532837,215.1437711019516,231.69329195594787,215.03619921640063,215.1437711019516,STOP_LOSS,1,-2.5487499999999956,0.15,-2.6987499999999955,-2.6987499999999955,VIYASH.BO,BSE,Viyash Scientific
2024-11-05,2024-11-06,2024-11-07,LONG,17.444718824386594,17.00860085377693,18.316954765605924,17.00009655335004,17.00860085377693,STOP_LOSS,2,-2.5487500000000036,0.15,-2.6987500000000035,-2.6987500000000035,CUPID.NS,NSE,Cupid Limited
2024-11-06,2024-11-07,2024-11-08,LONG,81.0238214378357,78.9982259018898,85.07501250972749,78.95872678893886,78.9982259018898,STOP_LOSS,2,-2.548749999999993,0.15,-2.698749999999993,-2.698749999999993,NMDC.BO,BSE,NMDC
2024-11-06,2024-11-07,2024-11-08,LONG,80.70699745559692,78.689322519207,84.74234732837677,78.64997785794739,78.689322519207,STOP_LOSS,2,-2.5487500000000023,0.15,-2.698750000000002,-2.698750000000002,NMDC.NS,NSE,NMDC Limited
2024-11-06,2024-11-07,2024-11-13,SHORT,724.0877872009278,742.1899818809509,687.8833978408813,688.2273395398017,687.8833978408813,TARGET,5,4.952500000000013,0.15,4.802500000000013,4.802500000000013,ICICIPRULI.BO,BSE,ICICI Prudential Life Insurance
2024-11-12,2024-11-13,2024-11-13,SHORT,199.9,204.89749999999998,189.905,189.99995249999998,189.905,TARGET,1,4.952500000000014,0.15,4.8025000000000135,4.8025000000000135,INOXWIND.BO,BSE,Inox Wind
