exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,yahoo_symbol,validation_method,data_rows,last_date,validation_error
BSE,STOCK,20MICRONS,20 Microns,,533022,B,20MICRONS.BO,,,0,,20MICRONS.BO: Yahoo returned no data | 533022.BO: Yahoo returned no data
BSE,STOCK,AAKAAR,Aakaar Medical Technologies,,213454,NS,AAKAAR.BO,,,0,,AAKAAR.BO: Yahoo returned no data | 213454.BO: Yahoo returned no data
BSE,STOCK,AAKASH,Aakash Exploration Services,,208537,NS,AAKASH.BO,,,0,,AAKASH.BO: Yahoo returned no data | 208537.BO: Yahoo returned no data
BSE,STOCK,AARADHYA,AARADHYA DISPOSAL INDUS L,,213636,NS,AARADHYA.BO,,,0,,AARADHYA.BO: Yahoo returned no data | 213636.BO: Yahoo returned no data
BSE,STOCK,AARON,Aaron Industries,,203282,NS,AARON.BO,,,0,,AARON.BO: Yahoo returned no data | 203282.BO: Yahoo returned no data
BSE,STOCK,AARVI,Aarvi Encon,,544850,B,AARVI.BO,,,0,,AARVI.BO: Only 22 rows; minimum is 30 | 544850.BO: Yahoo returned no data
BSE,STOCK,AATMAJ,Aatmaj Healthcare,,210436,NS,AATMAJ.BO,,,0,,AATMAJ.BO: Yahoo returned no data | 210436.BO: Yahoo returned no data
BSE,STOCK,ABB,ABB,,500002,A,ABB.BO,,,0,,ABB.BO: Only 2 rows; minimum is 30 | 500002.BO: Yahoo returned no data
BSE,STOCK,ABH,ABH Healthcare,,216562,NT,ABH.BO,,,0,,ABH.BO: Yahoo returned no data | 216562.BO: Yahoo returned no data
BSE,STOCK,ABHAPOWER,Abha Power and Steel,,212231,NS,ABHAPOWER.BO,,,0,,ABHAPOWER.BO: Yahoo returned no data | 212231.BO: Yahoo returned no data
BSE,STOCK,ABSMARINE,ABS Marine Services,,211582,NS,ABSMARINE.BO,,,0,,ABSMARINE.BO: Yahoo returned no data | 211582.BO: Yahoo returned no data
BSE,STOCK,ACC,ACC,,500410,A,ACC.BO,,,0,,ACC.BO: Only 2 rows; minimum is 30 | 500410.BO: Yahoo returned no data
BSE,STOCK,ACCENTMIC,Accent Microcell,,210915,NS,ACCENTMIC.BO,,,0,,ACCENTMIC.BO: Yahoo returned no data | 210915.BO: Yahoo returned no data
BSE,STOCK,ACCORD,Accord Synergy,,206183,NT,ACCORD.BO,,,0,,ACCORD.BO: Yahoo returned no data | 206183.BO: Yahoo returned no data
BSE,STOCK,ACCPL,Accretion Pharmaceuticals,,213326,NT,ACCPL.BO,,,0,,ACCPL.BO: Yahoo returned no data | 213326.BO: Yahoo returned no data
BSE,STOCK,ACEINTEG,Ace Integrated Solutions,,205354,NS,ACEINTEG.BO,,,0,,ACEINTEG.BO: Yahoo returned no data | 205354.BO: Yahoo returned no data
BSE,STOCK,ACETEC,Acetech E-Commerce,,215870,NS,ACETEC.BO,,,0,,ACETEC.BO: Yahoo returned no data | 215870.BO: Yahoo returned no data
BSE,STOCK,ACFL,Apex Capital & Finance,,541133,XT,ACFL.BO,,,0,,ACFL.BO: Yahoo returned no data | 541133.BO: Only 1 rows; minimum is 30
BSE,STOCK,ACTIVEINFR,Active Infrastructures,,213173,NS,ACTIVEINFR.BO,,,0,,ACTIVEINFR.BO: Yahoo returned no data | 213173.BO: Yahoo returned no data
BSE,STOCK,ADDICTIVE,Addictive Learning Technology,,211066,NS,ADDICTIVE.BO,,,0,,ADDICTIVE.BO: Yahoo returned no data | 211066.BO: Yahoo returned no data
BSE,STOCK,ADISOFT,Adisoft Technologies,,216223,NS,ADISOFT.BO,,,0,,ADISOFT.BO: Yahoo returned no data | 216223.BO: Yahoo returned no data
BSE,STOCK,ADVANCETL,Advance Technoforge,,544843,M,ADVANCETL.BO,,,0,,ADVANCETL.BO: Only 25 rows; minimum is 30 | 544843.BO: Yahoo returned no data
BSE,STOCK,ADVMULT,Advance Multitech,,526331,XT,ADVMULT.BO,,,0,,ADVMULT.BO: Yahoo returned no data | 526331.BO: Yahoo returned no data
BSE,STOCK,AEGEUS,Aegeus Technologies,,544858,M,AEGEUS.BO,,,0,,AEGEUS.BO: Only 19 rows; minimum is 30 | 544858.BO: Yahoo returned no data
BSE,STOCK,AERON,Aeron Composite,,211937,NS,AERON.BO,,,0,,AERON.BO: Yahoo returned no data | 211937.BO: Yahoo returned no data
BSE,STOCK,AESTHETIK,Aesthetik Engineers,,211871,NS,AESTHETIK.BO,,,0,,AESTHETIK.BO: Yahoo returned no data | 211871.BO: Yahoo returned no data
BSE,STOCK,AGARWALFT,Agarwal Float Glass,,209495,NS,AGARWALFT.BO,,,0,,AGARWALFT.BO: Yahoo returned no data | 209495.BO: Yahoo returned no data
BSE,STOCK,AGARWALTUF,Agarwal Toughened Glass,,212234,NS,AGARWALTUF.BO,,,0,,AGARWALTUF.BO: Yahoo returned no data | 212234.BO: Yahoo returned no data
