exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol
BSE,STOCK,1STCUS,First Custodian Fund,,511122,X,1STCUS.BO
BSE,STOCK,20MICRONS,20 Microns,,533022,B,20MICRONS.BO
BSE,STOCK,21STCENMGM,Twentyfirst Century Management Svcs,,526921,B,21STCENMGM.BO
BSE,STOCK,360ONE,360 One WAM,,542772,A,360ONE.BO
BSE,STOCK,3BBLACKBIO,3B BlackBio DX,,532067,B,3BBLACKBIO.BO
BSE,STOCK,3BFILMS,3B Films,,544412,M,3BFILMS.BO
BSE,STOCK,3CIT,3C IT Solutions & Telecoms,,544190,M,3CIT.BO
BSE,STOCK,3IINFOLTD,3I Infotech,,532628,T,3IINFOLTD.BO
BSE,STOCK,3MINDIA,3M India,,523395,A,3MINDIA.BO
BSE,STOCK,3PLAND,3P Land Holdings,,516092,B,3PLAND.BO
BSE,STOCK,5PAISA,5Paisa Capital,,540776,B,5PAISA.BO
BSE,STOCK,63MOONS,63 Moons Technologies,,526881,A,63MOONS.BO
BSE,STOCK,7NR,7NR Retail,,540615,XT,7NR.BO
BSE,STOCK,7SEASL,7Seas Entertainment,,540874,X,7SEASL.BO
BSE,STOCK,7TEC,Saven Technologies,,532404,X,7TEC.BO
BSE,STOCK,A1L,A1,,542012,B,A1L.BO
BSE,STOCK,A2ZINFRA,A2Z Infra Engineering,,533292,B,A2ZINFRA.BO
BSE,STOCK,AAATECH,AAA Technologies,,543671,B,AAATECH.BO
BSE,STOCK,AADHARHFC,Aadhar Housing Finance,,544176,A,AADHARHFC.BO
BSE,STOCK,AADIIND,Aadi Industries,,530027,X,AADIIND.BO
BSE,STOCK,AAIL,Akar Auto Industries,,530621,XT,AAIL.BO
BSE,STOCK,AAKAAR,Aakaar Medical Technologies,,213454,NS,AAKAAR.BO
BSE,STOCK,AAKASH,Aakash Exploration Services,,208537,NS,AAKASH.BO
BSE,STOCK,AANCHALISP,Aanchal Ispat Limited,,538812,XT,AANCHALISP.BO
BSE,STOCK,AAPLUSTRAD,AA Plus Tradelink,,543319,M,AAPLUSTRAD.BO
BSE,STOCK,AARADHYA,AARADHYA DISPOSAL INDUS L,,213636,NS,AARADHYA.BO
BSE,STOCK,AAREYDRUGS,Aarey Drugs & Pharmaceuticals,,524412,B,AAREYDRUGS.BO
BSE,STOCK,AARNAV,Aarnav Fashions,,539562,T,AARNAV.BO
BSE,STOCK,AARON,Aaron Industries,,203282,NS,AARON.BO
BSE,STOCK,AARTECH,Aartech Solonics,,542580,T,AARTECH.BO
BSE,STOCK,AARTIDRUGS,Aarti Drugs,,524348,B,AARTIDRUGS.BO
BSE,STOCK,AARTIIND,Aarti Industries,,524208,A,AARTIIND.BO
BSE,STOCK,AARTIPHARM,Aarti Pharma Labs,,543748,A,AARTIPHARM.BO
BSE,STOCK,AARTISURF,Aarti Surfactants,,543210,T,AARTISURF.BO
BSE,STOCK,AARVI,Aarvi Encon,,544850,B,AARVI.BO
BSE,STOCK,AASHKA,Aashka Hospitals,,543346,M,AASHKA.BO
BSE,STOCK,AASTAFIN,Aastamangalam Finance,,511764,X,AASTAFIN.BO
BSE,STOCK,AASTHA,Aastha Spintex,,544808,B,AASTHA.BO
BSE,STOCK,AATMAJ,Aatmaj Healthcare,,210436,NS,AATMAJ.BO
BSE,STOCK,AAVAS,Aavas Financiers,,541988,A,AAVAS.BO
BSE,STOCK,AAYUSH,Aayush Wellness,,539528,X,AAYUSH.BO
BSE,STOCK,AAYUSHBULL,Aayush Art and Bullion,,540718,M,AAYUSHBULL.BO
BSE,STOCK,ABAN,Aban Offshore,,523204,T,ABAN.BO
BSE,STOCK,ABANSENT,Abans Enterprises,,512165,B,ABANSENT.BO
BSE,STOCK,ABATEAS,Abate AS Industries,,531658,X,ABATEAS.BO
BSE,STOCK,ABB,ABB,,500002,A,ABB.BO
BSE,STOCK,ABBOTINDIA,Abbott,,500488,A,ABBOTINDIA.BO
BSE,STOCK,ABCAPITAL,Aditya Birla Capital,,540691,A,ABCAPITAL.BO
BSE,STOCK,ABCINDQ,ABC India,,520123,X,ABCINDQ.BO
BSE,STOCK,ABCOTS,AB Cotspin,,544522,B,ABCOTS.BO
BSE,STOCK,ABDL,Allied Blenders & Distillers,,544203,A,ABDL.BO
BSE,STOCK,ABFRL,Aditya Birla Fashion & Retail,,535755,A,ABFRL.BO
BSE,STOCK,ABH,ABH Healthcare,,216562,NT,ABH.BO
BSE,STOCK,ABHAPOWER,Abha Power and Steel,,212231,NS,ABHAPOWER.BO
BSE,STOCK,ABHICAP,Abhinav Capital Services,,532057,X,ABHICAP.BO
BSE,STOCK,ABHIFIN,Abhishek Finlease,,538935,X,ABHIFIN.BO
BSE,STOCK,ABHIINFRA,Abhishek Infraventures,,539544,X,ABHIINFRA.BO
BSE,STOCK,ABINFRA,AB Infrabuild,,544281,T,ABINFRA.BO
BSE,STOCK,ABIRAFN,Abirami Financial,,511756,Z,ABIRAFN.BO
BSE,STOCK,ABLBL,Aditya Birla Lifestyle Brands,,544403,A,ABLBL.BO
BSE,STOCK,ABMKNO,ABM Knowledgeware,,531161,B,ABMKNO.BO
BSE,STOCK,ABREL,Aditya Birla Real Estate,,500040,A,ABREL.BO
BSE,STOCK,ABRFL,Abram Food,,544422,M,ABRFL.BO
BSE,STOCK,ABRIL,Abril Paper Tech,,544500,M,ABRIL.BO
BSE,STOCK,ABSLAMC,AB ISIL Broad Based CRISIL ETF,,543374,A,ABSLAMC.BO
BSE,STOCK,ABSMARINE,ABS Marine Services,,211582,NS,ABSMARINE.BO
BSE,STOCK,ABVL,Arunjyothi Bio Ventures,,530881,X,ABVL.BO
BSE,STOCK,ACC,ACC,,500410,A,ACC.BO
BSE,STOCK,ACCEDERE,Accedere,,531533,XT,ACCEDERE.BO
BSE,STOCK,ACCEL,Accel,,517494,X,ACCEL.BO
BSE,STOCK,ACCELERATE,AccelerateBS,,543938,M,ACCELERATE.BO
BSE,STOCK,ACCELYA,Accelya Solutions,,532268,B,ACCELYA.BO
BSE,STOCK,ACCENTMIC,Accent Microcell,,210915,NS,ACCENTMIC.BO
BSE,STOCK,ACCORD,Accord Synergy,,206183,NT,ACCORD.BO
BSE,STOCK,ACCORDTS,Accord Transformer & Switchgear,,544710,M,ACCORDTS.BO
BSE,STOCK,ACCPL,Accretion Pharmaceuticals,,213326,NT,ACCPL.BO
BSE,STOCK,ACCURACY,Accuracy Shipping,,544598,T,ACCURACY.BO
BSE,STOCK,ACE,Action Construction Equipment,,532762,A,ACE.BO
BSE,STOCK,ACEALPHA,Ace Alpha Tech,,544431,M,ACEALPHA.BO
BSE,STOCK,ACEENGITEC,Ace Engitech,,530669,XT,ACEENGITEC.BO
BSE,STOCK,ACEINTEG,Ace Integrated Solutions,,205354,NS,ACEINTEG.BO
BSE,STOCK,ACEMEN,Ace Men Engg Works,,539661,X,ACEMEN.BO
BSE,STOCK,ACESOFT,Ace Software Exports,,531525,XT,ACESOFT.BO
BSE,STOCK,ACETEC,Acetech E-Commerce,,215870,NS,ACETEC.BO
BSE,STOCK,ACFL,Apex Capital & Finance,,541133,XT,ACFL.BO
BSE,STOCK,ACFSL,Amrapali Capital & Finance Services,,536737,MT,ACFSL.BO
BSE,STOCK,ACGL,Automobile Corporation of Goa,,505036,B,ACGL.BO
BSE,STOCK,ACHYUT,Achyut Healthcare,,543499,T,ACHYUT.BO
BSE,STOCK,ACI,Archean Chemical Industries,,543657,A,ACI.BO
BSE,STOCK,ACIIN,ACI Infocom,,517356,XT,ACIIN.BO
BSE,STOCK,ACKNIT,Acknit Industries,,530043,X,ACKNIT.BO
BSE,STOCK,ACL,Andhra Cements,,532141,B,ACL.BO
BSE,STOCK,ACLD,Aelea Commodities,,544213,M,ACLD.BO
