exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,yahoo_symbol,validation_method,data_rows,last_date,validation_error
BSE,STOCK,1STCUS,First Custodian Fund,,511122,X,1STCUS.BO,1STCUS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,21STCENMGM,Twentyfirst Century Management Svcs,,526921,B,21STCENMGM.BO,21STCENMGM.BO,data_symbol,250,2026-09-04,
BSE,STOCK,360ONE,360 One WAM,,542772,A,360ONE.BO,360ONE.BO,data_symbol,250,2026-09-04,
BSE,STOCK,3BBLACKBIO,3B BlackBio DX,,532067,B,3BBLACKBIO.BO,3BBLACKBIO.BO,data_symbol,250,2026-09-04,
BSE,STOCK,3BFILMS,3B Films,,544412,M,3BFILMS.BO,3BFILMS.BO,data_symbol,251,2026-09-04,
BSE,STOCK,3CIT,3C IT Solutions & Telecoms,,544190,M,3CIT.BO,3CIT.BO,data_symbol,250,2026-09-03,
BSE,STOCK,3IINFOLTD,3I Infotech,,532628,T,3IINFOLTD.BO,3IINFOLTD.BO,data_symbol,250,2026-09-04,
BSE,STOCK,3MINDIA,3M India,,523395,A,3MINDIA.BO,3MINDIA.BO,data_symbol,250,2026-09-04,
BSE,STOCK,3PLAND,3P Land Holdings,,516092,B,3PLAND.BO,3PLAND.BO,data_symbol,250,2026-09-04,
BSE,STOCK,5PAISA,5Paisa Capital,,540776,B,5PAISA.BO,5PAISA.BO,data_symbol,250,2026-09-04,
BSE,STOCK,63MOONS,63 Moons Technologies,,526881,A,63MOONS.BO,63MOONS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,7NR,7NR Retail,,540615,XT,7NR.BO,7NR.BO,data_symbol,250,2026-09-04,
BSE,STOCK,7SEASL,7Seas Entertainment,,540874,X,7SEASL.BO,7SEASL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,7TEC,Saven Technologies,,532404,X,7TEC.BO,7TEC.BO,data_symbol,250,2026-09-04,
BSE,STOCK,A1L,A1,,542012,B,A1L.BO,A1L.BO,data_symbol,250,2026-09-04,
BSE,STOCK,A2ZINFRA,A2Z Infra Engineering,,533292,B,A2ZINFRA.BO,A2ZINFRA.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AAATECH,AAA Technologies,,543671,B,AAATECH.BO,AAATECH.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AADHARHFC,Aadhar Housing Finance,,544176,A,AADHARHFC.BO,AADHARHFC.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AADIIND,Aadi Industries,,530027,X,AADIIND.BO,AADIIND.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AAIL,Akar Auto Industries,,530621,XT,AAIL.BO,AAIL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AANCHALISP,Aanchal Ispat Limited,,538812,XT,AANCHALISP.BO,AANCHALISP.BO,data_symbol,252,2026-09-04,
BSE,STOCK,AAPLUSTRAD,AA Plus Tradelink,,543319,M,AAPLUSTRAD.BO,AAPLUSTRAD.BO,data_symbol,251,2026-09-03,
BSE,STOCK,AAREYDRUGS,Aarey Drugs & Pharmaceuticals,,524412,B,AAREYDRUGS.BO,AAREYDRUGS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AARNAV,Aarnav Fashions,,539562,T,AARNAV.BO,AARNAV.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AARTECH,Aartech Solonics,,542580,T,AARTECH.BO,AARTECH.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AARTIDRUGS,Aarti Drugs,,524348,B,AARTIDRUGS.BO,AARTIDRUGS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AARTIIND,Aarti Industries,,524208,A,524208.BO,524208.BO,symbol,211,2026-07-17,
BSE,STOCK,AARTIPHARM,Aarti Pharma Labs,,543748,A,AARTIPHARM.BO,AARTIPHARM.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AARTISURF,Aarti Surfactants,,543210,T,AARTISURF.BO,AARTISURF.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AASHKA,Aashka Hospitals,,543346,M,AASHKA.BO,AASHKA.BO,data_symbol,250,2026-09-03,
BSE,STOCK,AASTAFIN,Aastamangalam Finance,,511764,X,AASTAFIN.BO,AASTAFIN.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AASTHA,Aastha Spintex,,544808,B,AASTHA.BO,AASTHA.BO,data_symbol,45,2026-09-04,
BSE,STOCK,AAVAS,Aavas Financiers,,541988,A,AAVAS.BO,AAVAS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AAYUSH,Aayush Wellness,,539528,X,AAYUSH.BO,AAYUSH.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AAYUSHBULL,Aayush Art and Bullion,,540718,M,AAYUSHBULL.BO,AAYUSHBULL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABAN,Aban Offshore,,523204,T,523204.BO,523204.BO,symbol,212,2026-07-17,
BSE,STOCK,ABANSENT,Abans Enterprises,,512165,B,ABANSENT.BO,ABANSENT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABATEAS,Abate AS Industries,,531658,X,ABATEAS.BO,ABATEAS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABBOTINDIA,Abbott,,500488,A,500488.BO,500488.BO,symbol,211,2026-07-17,
BSE,STOCK,ABCAPITAL,Aditya Birla Capital,,540691,A,ABCAPITAL.BO,ABCAPITAL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABCINDQ,ABC India,,520123,X,ABCINDQ.BO,ABCINDQ.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABCOTS,AB Cotspin,,544522,B,ABCOTS.BO,ABCOTS.BO,data_symbol,236,2026-09-04,
BSE,STOCK,ABDL,Allied Blenders & Distillers,,544203,A,ABDL.BO,ABDL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABFRL,Aditya Birla Fashion & Retail,,535755,A,ABFRL.BO,ABFRL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABHICAP,Abhinav Capital Services,,532057,X,ABHICAP.BO,ABHICAP.BO,data_symbol,252,2026-09-04,
BSE,STOCK,ABHIFIN,Abhishek Finlease,,538935,X,ABHIFIN.BO,ABHIFIN.BO,data_symbol,252,2026-09-04,
BSE,STOCK,ABHIINFRA,Abhishek Infraventures,,539544,X,ABHIINFRA.BO,ABHIINFRA.BO,data_symbol,251,2026-09-04,
BSE,STOCK,ABINFRA,AB Infrabuild,,544281,T,ABINFRA.BO,ABINFRA.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABIRAFN,Abirami Financial,,511756,Z,ABIRAFN.BO,ABIRAFN.BO,data_symbol,251,2026-09-04,
BSE,STOCK,ABLBL,Aditya Birla Lifestyle Brands,,544403,A,ABLBL.BO,ABLBL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABMKNO,ABM Knowledgeware,,531161,B,ABMKNO.BO,ABMKNO.BO,data_symbol,249,2026-09-03,
BSE,STOCK,ABREL,Aditya Birla Real Estate,,500040,A,ABREL.BO,ABREL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABRFL,Abram Food,,544422,M,ABRFL.BO,ABRFL.BO,data_symbol,251,2026-09-04,
BSE,STOCK,ABRIL,Abril Paper Tech,,544500,M,ABRIL.BO,ABRIL.BO,data_symbol,249,2026-09-04,
BSE,STOCK,ABSLAMC,AB ISIL Broad Based CRISIL ETF,,543374,A,ABSLAMC.BO,ABSLAMC.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ABVL,Arunjyothi Bio Ventures,,530881,X,ABVL.BO,ABVL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACCEDERE,Accedere,,531533,XT,ACCEDERE.BO,ACCEDERE.BO,data_symbol,251,2026-09-04,
BSE,STOCK,ACCEL,Accel,,517494,X,ACCEL.BO,ACCEL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACCELERATE,AccelerateBS,,543938,M,ACCELERATE.BO,ACCELERATE.BO,data_symbol,249,2026-09-03,
BSE,STOCK,ACCELYA,Accelya Solutions,,532268,B,ACCELYA.BO,ACCELYA.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACCORDTS,Accord Transformer & Switchgear,,544710,M,ACCORDTS.BO,ACCORDTS.BO,data_symbol,129,2026-09-04,
BSE,STOCK,ACCURACY,Accuracy Shipping,,544598,T,ACCURACY.BO,ACCURACY.BO,data_symbol,208,2026-09-04,
BSE,STOCK,ACE,Action Construction Equipment,,532762,A,ACE.BO,ACE.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACEALPHA,Ace Alpha Tech,,544431,M,ACEALPHA.BO,ACEALPHA.BO,data_symbol,251,2026-09-04,
BSE,STOCK,ACEENGITEC,Ace Engitech,,530669,XT,ACEENGITEC.BO,ACEENGITEC.BO,data_symbol,252,2026-09-04,
BSE,STOCK,ACEMEN,Ace Men Engg Works,,539661,X,ACEMEN.BO,ACEMEN.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACESOFT,Ace Software Exports,,531525,XT,ACESOFT.BO,ACESOFT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACFSL,Amrapali Capital & Finance Services,,536737,MT,ACFSL.BO,ACFSL.BO,data_symbol,251,2026-09-03,
BSE,STOCK,ACGL,Automobile Corporation of Goa,,505036,B,ACGL.BO,ACGL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACHYUT,Achyut Healthcare,,543499,T,ACHYUT.BO,ACHYUT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACI,Archean Chemical Industries,,543657,A,ACI.BO,ACI.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACIIN,ACI Infocom,,517356,XT,ACIIN.BO,ACIIN.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACKNIT,Acknit Industries,,530043,X,ACKNIT.BO,ACKNIT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACL,Andhra Cements,,532141,B,ACL.BO,ACL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACLD,Aelea Commodities,,544213,M,ACLD.BO,ACLD.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACME,Acme Resources,,539391,Z,ACME.BO,ACME.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACMESOLAR,ACME Solar Holdings,,544283,A,ACMESOLAR.BO,ACMESOLAR.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACML,Aditya Consumer Marketing,,540146,M,ACML.BO,ACML.BO,data_symbol,251,2026-09-03,
BSE,STOCK,ACROW,Acrow,,513149,X,ACROW.BO,ACROW.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACSTECH,ACS Technologies,,530745,T,ACSTECH.BO,ACSTECH.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACTIVE,Active Clothing Co,,541144,B,ACTIVE.BO,ACTIVE.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ACUTAAS,Acutaas Chemicals,,543349,A,ACUTAAS.BO,ACUTAAS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADANIENSOL,Adani Energy Solutions,,539254,A,ADANIENSOL.BO,ADANIENSOL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADANIENT,Adani Enterprises,,512599,A,ADANIENT.BO,ADANIENT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADANIGREEN,Adani Green Energy,,541450,A,ADANIGREEN.BO,ADANIGREEN.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADANIPORTS,Adani Ports & SEZ,,532921,A,ADANIPORTS.BO,ADANIPORTS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADANIPOWER,Adani Power,,533096,A,ADANIPOWER.BO,ADANIPOWER.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADARSHPL,Adarsh Plant Protect,,526711,X,ADARSHPL.BO,ADARSHPL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADCINDIA,ADC India Communications,,523411,XT,ADCINDIA.BO,ADCINDIA.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADCON,Adcon Capital Services,,539506,XT,ADCON.BO,ADCON.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADCOUNTY,Adcounty Media,,544435,M,ADCOUNTY.BO,ADCOUNTY.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADDIND,Addi Industries,,507852,B,ADDIND.BO,ADDIND.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADESHWAR,Adeshwar Meditex,,543309,M,ADESHWAR.BO,ADESHWAR.BO,data_symbol,251,2026-09-04,
BSE,STOCK,ADFFOODS,ADF Foods,,519183,B,ADFFOODS.BO,ADFFOODS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADHBHUTIN,Adhbhut Infrastructure,,539189,X,ADHBHUTIN.BO,ADHBHUTIN.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADHHATA,Adhata Global,,531286,X,ADHHATA.BO,ADHHATA.BO,data_symbol,249,2026-09-03,
BSE,STOCK,ADINATH,Adinath Textiles,,514113,X,ADINATH.BO,ADINATH.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADISHAKTI,Adishakti Loha & Ispat,,543377,M,ADISHAKTI.BO,ADISHAKTI.BO,data_symbol,252,2026-09-04,
BSE,STOCK,ADITYA,Aditya Ispat,,513513,X,ADITYA.BO,ADITYA.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADITYASP,Aditya Spinners,,521141,X,ADITYASP.BO,ADITYASP.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADL,Archidply Decor,,543231,B,ADL.BO,ADL.BO,data_symbol,251,2026-09-03,
BSE,STOCK,ADLINE,Adline Chem Lab,,524604,P,ADLINE.BO,ADLINE.BO,data_symbol,251,2026-09-03,
BSE,STOCK,ADMACH,Admach Systems,,544669,MT,ADMACH.BO,ADMACH.BO,data_symbol,170,2026-09-04,
BSE,STOCK,ADMANUM,Ad-Manum Finance,,511359,X,ADMANUM.BO,ADMANUM.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADON,Adon Agro Commodities,,544809,M,ADON.BO,ADON.BO,data_symbol,45,2026-09-04,
BSE,STOCK,ADOR,Ador Welding,,517041,B,ADOR.BO,ADOR.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADROITINFO,Adroit Infotech,,532172,B,ADROITINFO.BO,ADROITINFO.BO,data_symbol,249,2026-09-03,
BSE,STOCK,ADSL,Allied Digital Services,,532875,B,ADSL.BO,ADSL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADTECH,ADTECH,,544185,X,ADTECH.BO,ADTECH.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADVAIT,Advait Energy Transitions,,543230,B,ADVAIT.BO,ADVAIT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADVANCE,Advance Agrolife,,544562,B,ADVANCE.BO,ADVANCE.BO,data_symbol,227,2026-09-04,
BSE,STOCK,ADVANIHOTR,Advani Hotels & Resorts,,523269,B,ADVANIHOTR.BO,ADVANIHOTR.BO,data_symbol,250,2026-09-04,
