exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,scan_status,signal,signal_date,entry,stop_loss,target,risk,reward,risk_reward,rsi,ema_5,ema_13,ema_26,macd,macd_signal,volume_ratio,scan_error
NSE,STOCK,63MOONS,63 moons technologies limited,INE111B01023,,EQ,63MOONS.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,64.98556555950105,830.334980234735,807.6360424012344,796.2551013046445,12.465098941183669,7.457084382537072,3.155957556416325,
NSE,STOCK,20MICRONS,20 Microns Limited,INE144J01027,,EQ,20MICRONS.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,60.62119660868017,215.40014300979794,211.17327768922144,206.26246622100712,5.466463453308194,4.148504613737765,0.8083423481739797,
NSE,STOCK,360ONE,360 ONE WAM LIMITED,INE466L01038,,EQ,360ONE.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,41.87511600705666,1161.095218705289,1173.4237720179035,1168.4250911916938,4.628240716827349,12.564002321615325,0.7899925281715424,
NSE,STOCK,AARTIIND,Aarti Industries Limited,INE769A01020,,EQ,AARTIIND.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,42.6039598768751,515.4836332153789,521.96654482266,516.4034896910556,5.585519626832138,10.278460158084892,0.3944908307095485,
NSE,STOCK,AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,,EQ,AADHARHFC.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,45.8531580821573,474.96428033060465,476.8457526263793,484.0568352189574,-7.759360565879206,-8.502120371925292,0.7812368768324145,
NSE,STOCK,AASTHA,Aastha Spintex Limited,INE2FMX01012,,EQ,AASTHA.NS,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,INSUFFICIENT_DATA_ROWS_44
NSE,STOCK,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,,EQ,AAREYDRUGS.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,68.0506757875922,90.87080971259756,86.93183194022006,84.62473880805499,2.618003354879349,1.2799025404076332,0.7336743358385811,
NSE,STOCK,AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,,EQ,AARTIPHARM.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,64.6965910828651,858.2608747926693,841.6077112765635,811.1795933286942,32.66136163305441,34.382806500956576,0.26419411557194067,
NSE,STOCK,AARTIDRUGS,Aarti Drugs Limited,INE767A01016,,EQ,AARTIDRUGS.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,56.23515863879468,421.3835835939112,419.43170117876195,416.54069791870654,3.0568727884597138,3.298884532093143,1.7046337938401601,
NSE,STOCK,ABB,ABB India Limited,INE117A01022,,EQ,ABB.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,47.32599654438744,7469.713386816771,7507.194052998803,7491.916262416045,13.146267399643875,42.35010727343203,0.9257673178812835,
NSE,STOCK,AAVAS,Aavas Financiers Limited,INE216P01012,,EQ,AAVAS.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,40.64835957589506,1277.848927707951,1304.8390054961353,1340.562424086013,-39.26403663941119,-33.47953227411522,1.6322565043297288,
NSE,STOCK,ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,,EQ,ABFRL.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,40.923161740437585,51.881332481502895,53.12863012066799,54.87387342541078,-1.9137490863325795,-1.685247144727617,1.3420014506797948,
NSE,STOCK,ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,,EQ,ABLBL.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,42.80988513777518,84.89499196752205,85.94796692919752,88.13458009356626,-2.358360366827114,-2.423619566497671,0.9115427003006897,
NSE,STOCK,ABREL,Aditya Birla Real Estate Limited,INE055A01016,,EQ,ABREL.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,47.23809639178717,1368.30646715843,1379.6934647622118,1386.8464811598838,-8.327159630783854,-3.147910787281206,0.31162505895802367,
NSE,STOCK,ABDL,Allied Blenders and Distillers Limited,INE552Z01027,,EQ,ABDL.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,48.051164913438406,610.6703777286948,611.5675168967149,614.17382735816,-2.7398293800551983,-3.405646165516434,0.3780788354896001,
NSE,STOCK,ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,,EQ,ABCAPITAL.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,48.30101084389628,401.76928003622703,404.4546203855674,404.3673580691213,-0.08280679821484682,1.507326703612035,0.6052228320325863,
NSE,STOCK,ACC,ACC Limited,INE012A01025,,EQ,ACC.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,35.93378396014279,1278.9460984782709,1296.4388292015226,1314.7492383774068,-20.182449308051673,-16.379893676388576,0.757280334134776,
NSE,STOCK,ACSTECH,ACS Technologies Limited,INE366C01021,,BE,ACSTECH.NS,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,INSUFFICIENT_DATA_ROWS_13
NSE,STOCK,ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,,EQ,ABSLAMC.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,53.40214048407585,1035.7725903828757,1029.3511479965666,1032.4555763300027,-2.66936480492609,-8.472525986823554,1.011626709122732,
NSE,STOCK,ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,,EQ,ACMESOLAR.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,66.54117715314715,405.7686203718871,397.626998344064,389.31682829027613,9.15906282570171,7.3635290096221295,2.9076667278762334,
NSE,STOCK,ACE,Action Construction Equipment Limited,INE731H01025,,EQ,ACE.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,52.73973163081437,1123.6567286949285,1126.855220241688,1111.9695762851552,15.17273338126438,23.305340921734196,1.5449391347319226,
NSE,STOCK,ACI,Archean Chemical Industries Limited,INE128X01021,,EQ,ACI.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,42.90512447934397,492.81812045989886,497.4269470633496,507.3750416695049,-10.764176732148542,-10.961640038605989,1.6888937413136074,
NSE,STOCK,ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,,EQ,ADANIENSOL.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,33.38520872351768,1423.1985688556902,1486.2143688541353,1536.6059397241688,-56.46689689917889,-36.774739002138084,0.3003808819647073,
NSE,STOCK,ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,,EQ,ACUTAAS.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,45.474325303155396,3184.944923689533,3210.9929406177,3242.5002044906514,-34.09229495078398,-31.913574913979023,0.5762969469529909,
NSE,STOCK,ADANIGREEN,Adani Green Energy Limited,INE364U01010,,EQ,ADANIGREEN.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,42.19602000049085,1283.1291758129487,1300.0214834035883,1332.817733686804,-35.21822837689001,-36.71377308161888,0.6863276076988022,
NSE,STOCK,ADANIENT,Adani Enterprises Limited,INE423A01024,,EQ,ADANIENT.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,43.43124641472174,2934.495259092149,2977.257562605231,3004.6839197719282,-30.845281883558982,-17.10921202219457,0.5588537987838902,
NSE,STOCK,ADVANCE,Advance Agrolife Limited,INE1B0W01010,,EQ,ADVANCE.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,50.838544501174574,117.92202934871108,118.39243669514423,118.1837787091177,0.15795462719003694,0.6502027163476817,0.45727239725127505,
NSE,STOCK,ADANIPOWER,Adani Power Limited,INE814H01029,,EQ,ADANIPOWER.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,48.32164260307576,207.01721794335634,206.95931060519197,208.36597446509984,-1.446215562299301,-2.0472325573346772,0.4569020146908025,
NSE,STOCK,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,,EQ,ADANIPORTS.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,51.192807927576,1687.8302135836916,1684.9798491835581,1698.7326336948342,-14.22676716226124,-19.999784823403363,0.5480083077055397,
NSE,STOCK,ADFFOODS,ADF Foods Limited,INE982B01027,,EQ,ADFFOODS.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,41.62138423776586,267.46361698095546,269.31307627480567,272.98502225880566,-3.8514440527566194,-4.5686021934467185,0.680231078206771,
NSE,STOCK,ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,,EQ,ADVENZYMES.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,39.9525316515475,295.7130757370827,298.9100015958978,304.81016815174667,-6.329535524772439,-6.546381854577429,0.429176070859051,
NSE,STOCK,ADVENTHTL,Advent Hotels International Limited,INE28GN01010,,EQ,ADVENTHTL.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,42.61991879340486,136.86292220082305,138.094739925953,139.8114136577508,-1.8708795187048395,-1.790101315036283,0.44664373871263463,
NSE,STOCK,AEGISLOG,Aegis Logistics Limited,INE208C01025,,EQ,AEGISLOG.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,47.34222393825347,1270.0810474227983,1288.8753420842352,1294.0797985644094,-7.0066118447823555,4.3216513375833285,0.7970025862058648,
NSE,STOCK,AEQUS,Aequs Limited,INE947N01017,,EQ,AEQUS.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,46.562199906530346,245.5161417132518,247.59278512999236,245.63563878278512,1.9113784021538436,3.847887548256905,0.6365805217566206,
NSE,STOCK,AEROENTER,Aeroflex Enterprises Limited,INE065D01027,,EQ,AEROENTER.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,60.169722191627955,141.86478086069647,138.99295053759982,134.6982779789882,4.694175289370776,4.262094517303967,0.8874939928156489,
NSE,STOCK,AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018,,EQ,AEGISVOPAK.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,57.25971549523591,280.62580876120035,276.26966553136697,275.342931976444,1.0805816106238808,-0.4710304491973436,0.9493625643284741,
NSE,STOCK,AETHER,Aether Industries Limited,INE0BWX01014,,EQ,AETHER.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,58.91521017771932,1663.5790147396492,1651.235974023594,1609.1384350012868,44.64162929566737,51.57492399856357,0.651024897793472,
NSE,STOCK,AFCONS,Afcons Infrastructure Limited,INE101I01011,,EQ,AFCONS.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,60.670517849296196,289.7362702716718,285.42346540817334,284.19939050258427,1.5996699675737318,-0.7576218717239621,0.3912640789494446,
