symbol,CURRENT_trades,CURRENT_total_net_pct,CURRENT_avg_net_pct,CURRENT_median_net_pct,CURRENT_wins,CURRENT_losses,CURRENT_win_rate_pct,LONG_RSI_ZONE_trades,LONG_RSI_ZONE_total_net_pct,LONG_RSI_ZONE_avg_net_pct,LONG_RSI_ZONE_median_net_pct,LONG_RSI_ZONE_wins,LONG_RSI_ZONE_losses,LONG_RSI_ZONE_win_rate_pct,avg_net_delta_pct,total_net_delta_pct,win_rate_delta_pct,trade_count_delta,classification,rank
SHADOWFAX,1,-2.6500000000000066,-2.6500000000000066,-2.6500000000000066,0,1,0.0,1,4.850000000000002,4.850000000000002,4.850000000000002,1,0,100.0,7.500000000000009,7.500000000000009,100.0,0,IMPROVED,1
WELSPUNLIV,3,-7.949999999999995,-2.649999999999998,-2.65,0,3,0.0,3,-0.44999999999999885,-0.1499999999999996,-2.649999999999995,1,2,33.33333333333333,2.4999999999999987,7.4999999999999964,33.33333333333333,0,IMPROVED,2
IFCI,4,-10.6,-2.65,-2.65,0,4,0.0,4,-3.0999999999999965,-0.7749999999999991,-2.65,1,3,25.0,1.8750000000000009,7.5000000000000036,25.0,0,IMPROVED,3
JINDWORLD,5,1.7500000000000058,0.35000000000000114,-2.649999999999992,2,3,40.0,5,9.250000000000018,1.8500000000000036,4.85,3,2,60.0,1.5000000000000024,7.500000000000012,20.0,0,IMPROVED,4
TFCILTD,11,-6.6499999999999675,-0.6045454545454516,-2.6499999999999955,3,8,27.27272727272727,7,3.950000000000045,0.5642857142857207,-2.649999999999982,3,4,42.857142857142854,1.1688311688311723,10.600000000000012,15.584415584415584,-4,IMPROVED,5
MOTHERSON,12,-16.799999999999986,-1.3999999999999988,-2.649999999999997,2,10,16.666666666666664,10,-3.9999999999999805,-0.399999999999998,-2.649999999999997,3,7,30.0,1.0000000000000009,12.800000000000006,13.333333333333336,-2,IMPROVED,6
TATASTEEL,8,6.47896521045373,0.8098706513067162,0.38619975848122406,4,4,50.0,8,12.69014343917559,1.5862679298969486,2.155321304093796,5,3,62.5,0.7763972785902324,6.2111782287218595,12.5,0,IMPROVED,7
SAIL,5,1.7499999999999947,0.3499999999999989,-2.6500000000000075,2,3,40.0,4,4.4000000000000075,1.1000000000000019,1.1000000000000014,2,2,50.0,0.7500000000000029,2.650000000000013,10.0,-1,IMPROVED,8
SHUKRAPHAR,5,1.7499999999999751,0.34999999999999504,-2.6500000000000057,2,3,40.0,2,2.1999999999999926,1.0999999999999963,1.0999999999999963,1,1,50.0,0.7500000000000013,0.4500000000000175,10.0,-3,IMPROVED,9
BAJFINANCE,6,4.598700856996769,0.7664501428327948,0.09935042849838416,3,3,50.0,5,7.24870085699677,1.449740171399354,2.8487008569967704,3,2,60.0,0.6832900285665593,2.6500000000000012,10.0,-1,IMPROVED,10
HINDCOPPER,8,-6.199999999999975,-0.7749999999999969,-2.6499999999999924,2,6,25.0,6,-0.8999999999999635,-0.14999999999999392,-2.649999999999989,2,4,33.33333333333333,0.625000000000003,5.300000000000011,8.333333333333329,-2,IMPROVED,11
EPL,7,3.9500000000000326,0.5642857142857189,-2.6499999999999866,3,4,42.857142857142854,6,6.6000000000000325,1.1000000000000054,1.1000000000000065,3,3,50.0,0.5357142857142865,2.65,7.142857142857146,-1,IMPROVED,12
UJJIVANSFB,14,7.8305730034526375,0.5593266431037598,-0.8920156716591945,7,7,50.0,14,15.330573003452646,1.095040928818046,1.0652865017262876,8,6,57.14285714285714,0.5357142857142863,7.500000000000008,7.142857142857139,0,IMPROVED,13
LLOYDSENGG,6,-0.8999999999999693,-0.1499999999999949,-2.6499999999999915,2,4,33.33333333333333,5,1.7500000000000306,0.35000000000000614,-2.6499999999999884,2,3,40.0,0.500000000000001,2.65,6.666666666666671,-1,IMPROVED,14
PNB,7,-3.549999999999987,-0.5071428571428552,-2.6499999999999884,2,5,28.57142857142857,6,-0.899999999999979,-0.1499999999999965,-2.6499999999999884,2,4,33.33333333333333,0.35714285714285876,2.650000000000008,4.761904761904759,-1,IMPROVED,15
JIOFIN,17,18.71466858680865,1.1008628580475677,2.9749981470057887,9,8,52.94117647058824,16,21.36466858680865,1.3352917866755407,2.9823342934042865,9,7,56.25,0.23442892862797304,2.650000000000002,3.308823529411761,-1,IMPROVED,16
NMDC,24,1.319108705694192,0.054962862737258,-2.6499999999999915,9,15,37.5,23,3.9691087056941945,0.17256994372583453,-2.6499999999999906,9,14,39.130434782608695,0.11760708098857653,2.6500000000000026,1.6304347826086953,-1,IMPROVED,17
ETERNAL,13,-19.449999999999932,-1.4961538461538408,-2.649999999999989,2,11,15.384615384615385,12,-16.79999999999993,-1.3999999999999941,-2.649999999999988,2,10,16.666666666666664,0.0961538461538467,2.650000000000002,1.2820512820512793,-1,IMPROVED,18
CGCL,10,-19.00000000000001,-1.900000000000001,-2.6500000000000004,1,9,10.0,9,-16.350000000000016,-1.8166666666666684,-2.650000000000003,1,8,11.11111111111111,0.0833333333333326,2.649999999999995,1.1111111111111107,-1,IMPROVED,19
ASHOKLEY,8,5.884187236256661,0.7355234045320826,-0.35790638187167645,4,4,50.0,8,5.88418723625667,0.7355234045320838,-0.35790638187167645,4,4,50.0,1.1102230246251565e-15,8.881784197001252e-15,0.0,0,SIMILAR,20
ADANIPOWER,6,-0.9000000000000088,-0.15000000000000147,-2.65,2,4,33.33333333333333,6,-0.9000000000000048,-0.1500000000000008,-2.649999999999998,2,4,33.33333333333333,6.661338147750939e-16,3.9968028886505635e-15,0.0,0,SIMILAR,21
ICICIPRULI,8,1.3000000000000238,0.16250000000000298,-2.6499999999999924,3,5,37.5,8,1.3000000000000238,0.16250000000000298,-2.6499999999999924,3,5,37.5,0.0,0.0,0.0,0,SIMILAR,22
JSWENERGY,9,-1.3499999999999854,-0.14999999999999838,-2.649999999999993,3,6,33.33333333333333,9,-1.3499999999999854,-0.14999999999999838,-2.649999999999993,3,6,33.33333333333333,0.0,0.0,0.0,0,SIMILAR,23
INFY,6,-3.4868666558757813,-0.5811444426459635,-2.649999999999986,2,4,33.33333333333333,6,-3.4868666558757813,-0.5811444426459635,-2.649999999999986,2,4,33.33333333333333,0.0,0.0,0.0,0,SIMILAR,24
INOXWIND,14,15.400000000000016,1.1000000000000012,1.1000000000000039,7,7,50.0,14,15.400000000000016,1.1000000000000012,1.1000000000000039,7,7,50.0,0.0,0.0,0.0,0,SIMILAR,25
FCL,5,-5.750000000000006,-1.1500000000000012,-2.65,1,4,20.0,5,-5.750000000000006,-1.1500000000000012,-2.65,1,4,20.0,0.0,0.0,0.0,0,SIMILAR,26
GMRAIRPORT,12,-5.827033378684662,-0.48558611489038855,-2.649999999999989,4,8,33.33333333333333,12,-5.827033378684662,-0.48558611489038855,-2.649999999999989,4,8,33.33333333333333,0.0,0.0,0.0,0,SIMILAR,27
CANBK,5,9.250000000000025,1.850000000000005,4.85,3,2,60.0,5,9.250000000000025,1.850000000000005,4.85,3,2,60.0,0.0,0.0,0.0,0,SIMILAR,28
AYE,1,4.849999999999996,4.849999999999996,4.849999999999996,1,0,100.0,1,4.849999999999996,4.849999999999996,4.849999999999996,1,0,100.0,0.0,0.0,0.0,0,SIMILAR,29
COALINDIA,9,-18.898684099622024,-2.0998537888468913,-2.649999999999993,1,8,11.11111111111111,9,-18.898684099622024,-2.0998537888468913,-2.649999999999993,1,8,11.11111111111111,0.0,0.0,0.0,0,SIMILAR,30
ZEEL,14,28.950910001225388,2.0679221429446706,2.8448651815089523,10,4,71.42857142857143,14,28.950910001225388,2.0679221429446706,2.8448651815089523,10,4,71.42857142857143,0.0,0.0,0.0,0,SIMILAR,31
TENNIND,1,4.850000000000012,4.850000000000012,4.850000000000012,1,0,100.0,1,4.850000000000012,4.850000000000012,4.850000000000012,1,0,100.0,0.0,0.0,0.0,0,SIMILAR,32
PWL,2,9.700000000000006,4.850000000000003,4.850000000000003,2,0,100.0,2,9.700000000000006,4.850000000000003,4.850000000000003,2,0,100.0,0.0,0.0,0.0,0,SIMILAR,33
RELIANCE,7,-1.2016757076912092,-0.17166795824160133,-2.649999999999983,2,5,28.57142857142857,7,-1.2016757076912092,-0.17166795824160133,-2.649999999999983,2,5,28.57142857142857,0.0,0.0,0.0,0,SIMILAR,34
NTPC,3,3.7793233082706896,1.2597744360902299,1.5793233082706768,2,1,66.66666666666666,3,3.7793233082706896,1.2597744360902299,1.5793233082706768,2,1,66.66666666666666,0.0,0.0,0.0,0,SIMILAR,35
PFC,10,-3.999999999999985,-0.39999999999999847,-2.6499999999999964,3,7,30.0,10,-3.999999999999985,-0.39999999999999847,-2.6499999999999964,3,7,30.0,0.0,0.0,0.0,0,SIMILAR,36
IOC,5,11.967709031287288,2.3935418062574576,4.85,4,1,80.0,5,11.967709031287288,2.3935418062574576,4.85,4,1,80.0,0.0,0.0,0.0,0,SIMILAR,37
ITC,8,2.2416339440253976,0.2802042430031747,-0.9825885111185596,3,5,37.5,8,2.2416339440253976,0.2802042430031747,-0.9825885111185596,3,5,37.5,0.0,0.0,0.0,0,SIMILAR,38
