period,start_date,end_date,variant,trades,wins,losses,win_rate_pct,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct
P1,2024-10-24,2025-04-11,CURRENT,112,39,73,34.82142857142857,-0.10159128133413733,0.9404206010232183,-16.50524102929827,-36.38089719284019
P1,2024-10-24,2025-04-11,LONG_RSI_ZONE,105,39,66,37.142857142857146,0.06830263324358718,1.0415934065690577,0.7644930665335448,-24.51854700891767
P1,2024-10-24,2025-04-11,SHORT_RSI_ZONE,112,38,74,33.92857142857143,-0.16855556704842303,0.902501509082373,-22.47768444637277,-40.93161985429654
P1,2024-10-24,2025-04-11,BOTH_RSI_ZONE,105,38,67,36.19047619047619,-0.0031259381849842614,0.9981252491466626,-6.44326752477784,-29.917792573372758
P1,2024-10-24,2025-04-11,LONG_RSI_ZONE_NO_NEUTRAL,0,0,0,0.0,0.0,0.0,0.0,0.0
P1,2024-10-24,2025-04-11,LONG_RSI_ZONE_BEAR_ONLY,0,0,0,0.0,0.0,0.0,0.0,0.0
P2,2025-04-12,2025-09-28,CURRENT,108,36,72,33.33333333333333,-0.2890073634453389,0.8250830970809581,-30.782511775923638,-39.7031275010139
P2,2025-04-12,2025-09-28,LONG_RSI_ZONE,98,36,62,36.734693877551024,-0.061240990034435915,0.960833233377715,-10.639753776815542,-42.492253219851094
P2,2025-04-12,2025-09-28,SHORT_RSI_ZONE,108,36,72,33.33333333333333,-0.2890073634453389,0.8250830970809581,-30.782511775923638,-39.7031275010139
P2,2025-04-12,2025-09-28,BOTH_RSI_ZONE,98,36,62,36.734693877551024,-0.061240990034435915,0.960833233377715,-10.639753776815542,-42.492253219851094
P2,2025-04-12,2025-09-28,LONG_RSI_ZONE_NO_NEUTRAL,44,15,29,34.090909090909086,-0.12642908352881785,0.9184638766990699,-7.536147380305291,-34.65017199574992
P2,2025-04-12,2025-09-28,LONG_RSI_ZONE_BEAR_ONLY,5,0,5,0.0,-2.6499999999999915,0.0,-12.566114354329628,-10.18604453449371
P3,2025-09-29,2026-03-17,CURRENT,105,35,70,33.33333333333333,-0.30358353430645657,0.8274065457804887,-31.48328641601601,-49.054700867374365
P3,2025-09-29,2026-03-17,LONG_RSI_ZONE,95,36,59,37.89473684210527,0.022355041029706344,1.0136539154044844,-3.4684134390623456,-38.81383901980523
P3,2025-09-29,2026-03-17,SHORT_RSI_ZONE,103,33,70,32.038834951456316,-0.40365311749687327,0.7748860831277893,-37.67537785638409,-53.658803051864744
P3,2025-09-29,2026-03-17,BOTH_RSI_ZONE,93,34,59,36.55913978494624,-0.08146528066857962,0.9512905037847995,-12.192305459021291,-41.64410016195064
P3,2025-09-29,2026-03-17,LONG_RSI_ZONE_NO_NEUTRAL,81,31,50,38.2716049382716,0.021280603676816143,1.0130893002988315,-2.992867435623281,-38.81383901980523
P3,2025-09-29,2026-03-17,LONG_RSI_ZONE_BEAR_ONLY,26,12,14,46.15384615384615,0.811538461538466,1.5687331536388183,21.206134122683263,-15.422258937166
P4,2026-03-18,2026-09-03,CURRENT,110,52,58,47.27272727272727,0.7322093895047576,1.5321581837063887,107.96051556233563,-32.876160626712746
P4,2026-03-18,2026-09-03,LONG_RSI_ZONE,102,47,55,46.07843137254902,0.629833655348268,1.4479935992970947,77.88152492236848,-33.819193959239755
P4,2026-03-18,2026-09-03,SHORT_RSI_ZONE,105,49,56,46.666666666666664,0.6789812651954601,1.488135671844051,90.37226160843062,-32.876160626712725
P4,2026-03-18,2026-09-03,BOTH_RSI_ZONE,97,44,53,45.36082474226804,0.5669384829435392,1.3982068469749973,62.837200640027845,-33.81919395923975
P4,2026-03-18,2026-09-03,LONG_RSI_ZONE_NO_NEUTRAL,72,33,39,45.83333333333333,0.7032518523171944,1.5013197356584276,58.07858983090879,-30.361706652154407
P4,2026-03-18,2026-09-03,LONG_RSI_ZONE_BEAR_ONLY,57,24,33,42.10526315789473,0.44346179650132495,1.2970249667867708,24.099206745113587,-30.361706652154407
