exchange,symbol,name,data_symbol,avg_volume,start_date_requested,end_date_requested,rows,first_date,last_date,historical_status,error,downloaded_at
NSE,LUMINO,Lumino Industries Limited,LUMINO.NS,158692789.0,2021-01-01,2026-09-06,2,2026-09-03,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:45
NSE,IFCI,IFCI Limited,IFCI.NS,83513020.05,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:46
NSE,GROWW,Billionbrains Garage Ventures Limited,GROWW.NS,48181140.55,2021-01-01,2026-09-06,206,2025-11-12,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:46
NSE,SHIPROCKET,Shiprocket Limited,SHIPROCKET.NS,43329285.0,2021-01-01,2026-09-06,13,2026-08-19,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:47
NSE,ETERNAL,ETERNAL LIMITED,ETERNAL.NS,37551384.6,2021-01-01,2026-09-06,1270,2021-07-23,2026-09-04,PASS,,2026-09-05T17:12:47
NSE,MILKYMIST,Milky Mist Dairy Food Limited,MILKYMIST.NS,35250084.928571425,2021-01-01,2026-09-06,14,2026-08-18,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:48
NSE,ZEEL,Zee Entertainment Enterprises Limited,ZEEL.NS,34575384.85,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:48
NSE,TATASTEEL,Tata Steel Limited,TATASTEEL.NS,27821449.8,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:48
NSE,MOREPENLAB,Morepen Laboratories Limited,MOREPENLAB.NS,26915451.9,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:48
NSE,HDFCBANK,HDFC Bank Limited,HDFCBANK.NS,26744390.85,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:49
NSE,LALITHAA,Lalithaa Jewellery Mart Limited,LALITHAA.NS,26732898.3,2021-01-01,2026-09-06,10,2026-08-24,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:49
NSE,SAIL,Steel Authority of India Limited,SAIL.NS,25976358.65,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:49
NSE,CUPID,Cupid Limited,CUPID.NS,25700065.8,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:50
NSE,JINDWORLD,Jindal Worldwide Limited,JINDWORLD.NS,24787569.2,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:50
NSE,SKYWAYS,Skyways Air Services Limited,SKYWAYS.NS,23020552.0,2021-01-01,2026-09-06,4,2026-09-01,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:50
NSE,SWIGGY,Swiggy Limited,SWIGGY.NS,21936690.0,2021-01-01,2026-09-06,452,2024-11-13,2026-09-04,PASS,,2026-09-05T17:12:51
NSE,ADANIPOWER,Adani Power Limited,ADANIPOWER.NS,20416073.25,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:51
NSE,PINELABS,Pine Labs Limited,PINELABS.NS,19990563.6,2021-01-01,2026-09-06,204,2025-11-14,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:51
NSE,PWL,Physicswallah Limited,PWL.NS,18849417.8,2021-01-01,2026-09-06,202,2025-11-18,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:51
NSE,NMDC,NMDC Limited,NMDC.NS,18559158.85,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:52
NSE,HFCL,HFCL Limited,HFCL.NS,17528196.75,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:52
NSE,VMM,Vishal Mega Mart Limited,VMM.NS,17237882.9,2021-01-01,2026-09-06,429,2024-12-18,2026-09-04,PASS,,2026-09-05T17:12:52
NSE,SHANKESH,Shankesh Jewellers Limited,SHANKESH.NS,17003014.666666668,2021-01-01,2026-09-06,9,2026-08-25,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:53
NSE,HINDCOPPER,Hindustan Copper Limited,HINDCOPPER.NS,16878227.85,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:53
NSE,LEAPIND,LEAP India Limited,LEAPIND.NS,16782215.6875,2021-01-01,2026-09-06,16,2026-08-14,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:54
NSE,MAHABANK,Bank of Maharashtra,MAHABANK.NS,16381963.4,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:54
NSE,HORIZONIND,Horizon Industrial Parks Limited,HORIZONIND.NS,15917038.8,2021-01-01,2026-09-06,10,2026-08-24,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:54
NSE,ESDS,ESDS Software Solution Limited,ESDS.NS,15790052.0,2021-01-01,2026-09-06,1,2026-09-04,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:55
NSE,ASHOKLEY,Ashok Leyland Limited,ASHOKLEY.NS,15715516.8,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:12:55
NSE,URBANCO,Urban Company Limited,URBANCO.NS,15586038.85,2021-01-01,2026-09-06,243,2025-09-17,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:12:56
