period,start_date,end_date,variant,policy,trades,win_rate_pct,avg_net_pct,profit_factor,compound_pct,max_drawdown_pct
P1,2023-09-01,2023-12-31,CURRENT,ALL,0,0.0,0.0,0.0,0.0,0.0
P1,2023-09-01,2023-12-31,CURRENT,SHORT_ONLY,0,0.0,0.0,0.0,0.0,0.0
P1,2023-09-01,2023-12-31,EMA_MACD,ALL,0,0.0,0.0,0.0,0.0,0.0
P1,2023-09-01,2023-12-31,EMA_MACD,SHORT_ONLY,0,0.0,0.0,0.0,0.0,0.0
P2,2024-01-01,2024-06-30,CURRENT,ALL,0,0.0,0.0,0.0,0.0,0.0
P2,2024-01-01,2024-06-30,CURRENT,SHORT_ONLY,0,0.0,0.0,0.0,0.0,0.0
P2,2024-01-01,2024-06-30,EMA_MACD,ALL,0,0.0,0.0,0.0,0.0,0.0
P2,2024-01-01,2024-06-30,EMA_MACD,SHORT_ONLY,0,0.0,0.0,0.0,0.0,0.0
P3,2024-07-01,2024-12-31,CURRENT,ALL,0,0.0,0.0,0.0,0.0,0.0
P3,2024-07-01,2024-12-31,CURRENT,SHORT_ONLY,0,0.0,0.0,0.0,0.0,0.0
P3,2024-07-01,2024-12-31,EMA_MACD,ALL,0,0.0,0.0,0.0,0.0,0.0
P3,2024-07-01,2024-12-31,EMA_MACD,SHORT_ONLY,0,0.0,0.0,0.0,0.0,0.0
P4,2025-01-01,2025-06-30,CURRENT,ALL,0,0.0,0.0,0.0,0.0,0.0
P4,2025-01-01,2025-06-30,CURRENT,SHORT_ONLY,0,0.0,0.0,0.0,0.0,0.0
P4,2025-01-01,2025-06-30,EMA_MACD,ALL,0,0.0,0.0,0.0,0.0,0.0
P4,2025-01-01,2025-06-30,EMA_MACD,SHORT_ONLY,0,0.0,0.0,0.0,0.0,0.0
P5,2025-07-01,2025-12-31,CURRENT,ALL,74,31.08108108108108,-0.5615758332451121,0.6735561930049436,-36.29502417310052,-36.84515795183212
P5,2025-07-01,2025-12-31,CURRENT,SHORT_ONLY,31,22.58064516129032,-0.9732994393528768,0.49663145862304375,-27.13147224705501,-29.16457226300817
P5,2025-07-01,2025-12-31,EMA_MACD,ALL,124,35.483870967741936,-0.49572945851031075,0.699510698288678,-48.88601497051609,-53.86635300789809
P5,2025-07-01,2025-12-31,EMA_MACD,SHORT_ONLY,61,36.0655737704918,-0.4694960276503911,0.7139153436487053,-26.937077335859115,-31.751916962893535
P6,2026-01-01,2026-06-30,CURRENT,ALL,203,39.40886699507389,0.21430900985110643,1.133954497400629,35.845196172082794,-50.275260769538676
P6,2026-01-01,2026-06-30,CURRENT,SHORT_ONLY,109,47.706422018348626,0.834007435832652,1.6065612221294425,130.09758909784307,-29.4710487338393
P6,2026-01-01,2026-06-30,EMA_MACD,ALL,279,43.01075268817204,0.5055481388096019,1.3366238722286097,240.16760367577322,-37.36495802863274
P6,2026-01-01,2026-06-30,EMA_MACD,SHORT_ONLY,146,48.63013698630137,0.8917301854783711,1.65505714254009,231.68056297131776,-24.32608477231424
P7,2026-07-01,2026-09-05,CURRENT,ALL,57,43.859649122807014,0.12105085537168507,1.083668591639034,3.8828777848350704,-22.0925947423105
P7,2026-07-01,2026-09-05,CURRENT,SHORT_ONLY,31,48.38709677419355,0.173205133516113,1.134009472187335,3.952778741958629,-21.84451888143669
P7,2026-07-01,2026-09-05,EMA_MACD,ALL,85,38.82352941176471,-0.12718290505114854,0.916383867779231,-14.004431654770999,-36.26013721328304
P7,2026-07-01,2026-09-05,EMA_MACD,SHORT_ONLY,45,44.44444444444444,0.1303741978711685,1.0956029246660717,3.7176448817422436,-24.876452205019127
