trades,wins,losses,win_rate,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,regime,variant
334,128,206,38.32335329341318,0.02649106615515676,1.0165525670446287,-10.099602381198181,-48.97409906261051,3.2724550898203595,105,200,29,ALL,CURRENT
281,109,172,38.79003558718861,0.08833498897150131,1.055850302837975,8.498607202248554,-43.360174804317374,3.2455516014234878,92,166,23,ALL,LONG_RSI_ZONE
488,197,291,40.36885245901639,0.1409158420968295,1.0913405417274127,49.52326203470889,-37.953096045805424,3.473360655737705,155,282,51,ALL,EMA_MACD
117,46,71,39.31623931623932,0.1591901839230134,1.1039799991077508,12.48788511870651,-27.060358966108776,3.8034188034188032,38,66,13,BULL,CURRENT
99,40,59,40.4040404040404,0.32578939625857906,1.2189275368223391,29.93407387421405,-20.35319849553773,3.707070707070707,35,54,10,BULL,LONG_RSI_ZONE
185,77,108,41.62162162162162,0.07452348455092803,1.0494563639159495,3.7626950738901765,-27.30432992552697,3.983783783783784,52,104,29,BULL,EMA_MACD
133,52,81,39.097744360902254,0.15403430202762042,1.0954417058917938,12.950567668557134,-29.06359958624638,2.9097744360902253,47,81,5,BEAR,CURRENT
114,47,67,41.228070175438596,0.3273603764491786,1.2101891462416579,34.945702431636924,-17.019294820984364,2.8684210526315788,43,67,4,BEAR,LONG_RSI_ZONE
176,74,102,42.04545454545455,0.44908145637184016,1.2924096793246174,95.919203502018,-21.969579155721686,3.0681818181818183,71,102,3,BEAR,EMA_MACD
84,30,54,35.714285714285715,-0.3602833046767112,0.7850078853787378,-29.24332066760621,-40.96881056814211,3.107142857142857,20,53,11,NEUTRAL,CURRENT
68,22,46,32.35294117647059,-0.6580897241737327,0.6257320437232302,-38.121176252059264,-44.6692043596049,3.2058823529411766,14,45,9,NEUTRAL,LONG_RSI_ZONE
127,46,81,36.22047244094488,-0.18943503952844698,0.8819489598668315,-26.4486728845295,-47.0338093418602,3.2913385826771653,32,76,19,NEUTRAL,EMA_MACD
