variant,regime,direction,trades,win_rate,avg_net_pct,profit_factor
CURRENT,BULL,LONG,60,35.0,-0.279201216040204,0.8310605600684271
CURRENT,BULL,SHORT,57,43.859649122807014,0.6206548154632424,1.4424201813363302
CURRENT,BEAR,LONG,58,32.758620689655174,-0.3201834695645083,0.8203130988413986
CURRENT,BEAR,SHORT,75,44.0,0.5207627120588666,1.3509182695814477
CURRENT,NEUTRAL,LONG,45,31.11111111111111,-0.48740348292985153,0.7330108736233321
CURRENT,NEUTRAL,SHORT,39,41.02564102564102,-0.21360617592308737,0.8578801517260107
LONG_RSI_ZONE,BULL,LONG,42,35.714285714285715,-0.07438510123346397,0.9536198961953507
LONG_RSI_ZONE,BULL,SHORT,57,43.859649122807014,0.6206548154632424,1.4424201813363302
LONG_RSI_ZONE,BEAR,LONG,39,35.8974358974359,-0.04456719203099054,0.9737642190308132
LONG_RSI_ZONE,BEAR,SHORT,75,44.0,0.5207627120588666,1.3509182695814477
LONG_RSI_ZONE,NEUTRAL,LONG,27,22.22222222222222,-1.1525726067708677,0.44080035251009136
LONG_RSI_ZONE,NEUTRAL,SHORT,41,39.02439024390244,-0.3324546551463509,0.7867447112974122
EMA_MACD,BULL,LONG,84,33.33333333333333,-0.49165403679544994,0.7136198980161038
EMA_MACD,BULL,SHORT,101,48.51485148514851,0.5454037993340544,1.4093843109841766
EMA_MACD,BEAR,LONG,88,42.04545454545455,0.4397076655601877,1.2863061381375989
EMA_MACD,BEAR,SHORT,88,42.04545454545455,0.45845524718349273,1.298513220511635
EMA_MACD,NEUTRAL,LONG,64,29.6875,-0.5632592630093256,0.6817704778889478
EMA_MACD,NEUTRAL,SHORT,63,42.857142857142854,0.19032290178546135,1.132465487412475
