signal_date,entry_date,exit_date,direction,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,variant,symbol,exchange,regime,filter
2025-08-22,2025-08-25,2025-08-26,LONG,159.0,155.025,166.95000000000002,155.025,STOP_LOSS,1,-2.4999999999999964,-2.6499999999999964,CURRENT,TATASTEEL,BSE,NEUTRAL,ALL_TRADES
2025-08-27,2025-08-28,2025-09-11,SHORT,235.4499969482422,241.33624687194825,223.67749710083007,241.33624687194825,STOP_LOSS,9,-2.4999999999999902,-2.64999999999999,CURRENT,BANKBARODA,BSE,NEUTRAL,ALL_TRADES
2025-08-28,2025-08-29,2025-09-02,SHORT,154.25,158.10625,146.5375,158.10625,STOP_LOSS,1,-2.4999999999999925,-2.6499999999999924,CURRENT,TATASTEEL,BSE,NEUTRAL,ALL_TRADES
2025-09-02,2025-09-03,2025-09-11,SHORT,805.0,825.1249999999999,764.75,825.1249999999999,STOP_LOSS,6,-2.499999999999986,-2.6499999999999857,CURRENT,SBIN,BSE,NEUTRAL,ALL_TRADES
2025-09-04,2025-09-05,2025-09-19,LONG,166.8000030517578,162.63000297546387,175.1400032043457,171.5,TIME_EXIT,10,2.817743922213109,2.6677439222131096,CURRENT,TATASTEEL,BSE,NEUTRAL,ALL_TRADES
2025-09-16,2025-09-17,2025-09-24,LONG,88.30000305175781,86.09250297546386,92.7150032043457,86.09250297546386,STOP_LOSS,5,-2.5000000000000093,-2.650000000000009,CURRENT,NHPC,NSE,BULL,ALL_TRADES
2025-09-16,2025-09-17,2025-09-24,LONG,834.2999877929688,813.4424880981445,876.0149871826172,876.0149871826172,TARGET,5,5.000000000000005,4.850000000000005,CURRENT,SBIN,NSE,BULL,ALL_TRADES
2025-09-16,2025-09-17,2025-09-24,LONG,88.18000030517578,85.97550029754639,92.58900032043458,85.97550029754639,STOP_LOSS,5,-2.4999999999999964,-2.6499999999999964,CURRENT,NHPC,BSE,BULL,ALL_TRADES
2025-09-16,2025-09-17,2025-09-24,LONG,833.25,812.4187499999999,874.9125,874.9125,TARGET,5,5.000000000000003,4.850000000000002,CURRENT,SBIN,BSE,BULL,ALL_TRADES
2025-09-17,2025-09-18,2025-09-24,LONG,92.08999633789062,89.78774642944336,96.69449615478516,89.78774642944336,STOP_LOSS,4,-2.5,-2.65,CURRENT,GMRAIRPORT,NSE,BULL,ALL_TRADES
