exchange,symbol,data_symbol,history_rows,selection_rows,oos_rows,selection_avg_volume,first_date,selection_end,oos_start,last_date
NSE,ETERNAL,ETERNAL.NS,487,243,244,57111995.28395062,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,TATASTEEL,TATASTEEL.NS,487,243,244,33367800.308641974,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,ADANIPOWER,ADANIPOWER.NS,486,243,243,31512037.613168724,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,IDFCFIRSTB,IDFCFIRSTB.NS,487,243,244,30993460.074074075,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,PNB,PNB.NS,487,243,244,27686101.053497944,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,NMDC,NMDC.NS,487,243,244,27288024.267489713,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,CANBK,CANBK.NS,487,243,244,24501134.111111112,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,HDFCBANK,HDFCBANK.NS,487,243,244,24059859.55144033,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,MOTHERSON,MOTHERSON.NS,487,243,244,23204468.547325104,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,BEL,BEL.NS,487,243,244,22052804.827160493,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,VMM,VMM.NS,415,207,208,21149995.72463768,2025-01-08,2025-11-07,2025-11-10,2026-09-04
NSE,KOTAKBANK,KOTAKBANK.NS,487,243,244,19953854.259259257,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,IRFC,IRFC.NS,487,243,244,19447291.637860082,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,JIOFIN,JIOFIN.NS,487,243,244,18423928.271604937,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,NHPC,NHPC.NS,487,243,244,18235483.860082306,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,SAIL,SAIL.NS,487,243,244,17129871.534979425,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,ITC,ITC.NS,487,243,244,15471475.102880659,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,ANGELONE,ANGELONE.NS,487,243,244,15335654.238683127,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,SWIGGY,SWIGGY.NS,438,219,219,14964033.707762556,2024-12-05,2025-10-21,2025-10-23,2026-09-04
NSE,ASHOKLEY,ASHOKLEY.NS,487,243,244,14795058.119341563,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,HFCL,HFCL.NS,487,243,244,14354761.127572017,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,GMRAIRPORT,GMRAIRPORT.NS,487,243,244,14186804.497942386,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,NATIONALUM,NATIONALUM.NS,487,243,244,14056786.456790123,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,IOC,IOC.NS,487,243,244,14018924.510288065,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,ZEEL,ZEEL.NS,487,243,244,13572714.580246914,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,NTPC,NTPC.NS,487,243,244,13283247.279835392,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,MAHABANK,MAHABANK.NS,487,243,244,13077642.794238683,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,TMPV,TMPV.NS,487,243,244,12953264.452674897,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,POWERGRID,POWERGRID.NS,487,243,244,12881066.473251028,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,GAIL,GAIL.NS,487,243,244,12870334.094650205,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,RELIANCE,RELIANCE.NS,487,243,244,12742747.497942386,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,IFCI,IFCI.NS,487,243,244,12577755.263374485,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,JAYNECOIND,JAYNECOIND.NS,487,243,244,12469870.24691358,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,ONGC,ONGC.NS,487,243,244,12227624.604938272,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,UNIONBANK,UNIONBANK.NS,487,243,244,12221940.625514403,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,BHEL,BHEL.NS,487,243,244,12217655.032921812,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,IREDA,IREDA.NS,487,243,244,11986152.041152263,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,UJJIVANSFB,UJJIVANSFB.NS,487,243,244,11945132.115226338,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,WIPRO,WIPRO.NS,487,243,244,11839473.477366256,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,NBCC,NBCC.NS,487,243,244,11485727.761316873,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,SBIN,SBIN.NS,487,243,244,11430768.691358024,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,BAJAJHFL,BAJAJHFL.NS,479,239,240,11170106.912133891,2024-10-07,2025-09-19,2025-09-22,2026-09-04
NSE,RBLBANK,RBLBANK.NS,487,243,244,10772242.851851853,2024-09-24,2025-09-15,2025-09-16,2026-09-04
NSE,BANKBARODA,BANKBARODA.NS,487,243,244,10718406.362139918,2024-09-24,2025-09-15,2025-09-16,2026-09-04
