period,variant,trades,wins,losses,win_rate,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits
P1,CURRENT,70,23,47,32.857142857142854,-0.44223730943054756,0.7347355983656191,-29.07006990537695,-33.98230499691072,4.671428571428572,15,43,12
P1,LONG_RSI_ZONE,55,14,41,25.454545454545453,-0.8290264885771765,0.5476585283091621,-38.21377206523401,-36.53186652823216,4.327272727272727,10,37,8
P1,EMA_MACD,122,45,77,36.885245901639344,-0.3989381381580208,0.7524616873193022,-41.91014282751323,-47.762261236837325,4.680327868852459,23,73,26
P2,CURRENT,121,46,75,38.01652892561984,0.1889931142983584,1.1157457325737354,16.27175748309726,-35.34298657689297,2.165289256198347,44,74,3
P2,LONG_RSI_ZONE,98,44,54,44.89795918367347,0.7117306847075958,1.4914628510564125,87.56750878311996,-22.46383873540595,2.2755102040816326,43,53,2
P2,EMA_MACD,156,68,88,43.58974358974359,0.554869194913047,1.3749481407934832,114.06030567954852,-24.996660939685523,2.2564102564102564,63,87,6
P3,CURRENT,82,34,48,41.46341463414634,0.251665392313088,1.1622371239754183,16.834215903059004,-14.093455763412589,3.682926829268293,29,48,5
P3,LONG_RSI_ZONE,67,27,40,40.298507462686565,0.17715049127173219,1.111972480332133,8.073584027799852,-15.95799049283434,3.611940298507463,23,40,4
P3,EMA_MACD,123,52,71,42.27642276422765,0.44299460423937903,1.289600511939642,58.912042377912876,-17.663569075331097,3.6178861788617884,49,71,3
P4,CURRENT,57,25,32,43.859649122807014,0.12105085537168503,1.083668591639034,3.882877784835026,-27.809645342456612,3.245614035087719,17,31,9
P4,LONG_RSI_ZONE,57,24,33,42.10526315789473,-0.010528091996734974,0.9929496909107518,-3.5479432298168967,-34.53859538516062,3.3684210526315788,16,32,9
P4,EMA_MACD,85,33,52,38.82352941176471,-0.12718290505114863,0.916383867779231,-14.004431654771043,-39.45071853093117,3.6470588235294117,21,48,16
