exchange,symbol,name,data_symbol,full_history_rows,full_history_start,full_history_end,selection_history_rows,selection_history_start,selection_history_end,selection_avg_volume,selection_rank,selection_method,selection_top_n,oos_start_date
NSE,TATASTEEL,Tata Steel Limited,TATASTEEL.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,92498133.76386914,1,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,PNB,Punjab National Bank,PNB.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,78343423.78947368,2,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,ADANIPOWER,Adani Power Limited,ADANIPOWER.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,74315568.9544808,3,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,CANBK,Canara Bank,CANBK.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,68186264.1536273,4,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,ETERNAL,ETERNAL LIMITED,ETERNAL.NS,1270,2021-07-23,2026-09-04,635,2021-07-23,2024-02-14,68177598.77129337,5,FIRST_HALF_AVG_VOLUME,50,2024-02-14
NSE,NMDC,NMDC Limited,NMDC.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,43662171.31863442,6,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,BHEL,Bharat Heavy Electricals Limited,BHEL.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,40244233.431009956,7,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,IDFCFIRSTB,IDFC First Bank Limited,IDFCFIRSTB.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,36738621.45142857,8,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,SAIL,Steel Authority of India Limited,SAIL.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,36655597.35277382,9,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,IRFC,Indian Railway Finance Corporation Limited,IRFC.NS,1388,2021-01-29,2026-09-04,694,2021-01-29,2023-11-17,36023672.30259366,10,FIRST_HALF_AVG_VOLUME,50,2023-11-17
NSE,BANKBARODA,Bank of Baroda,BANKBARODA.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,35629637.56187767,11,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,IREDA,Indian Renewable Energy Development Agency Limited,IREDA.NS,688,2023-11-29,2026-09-04,344,2023-11-29,2025-04-23,34703482.938596494,12,FIRST_HALF_AVG_VOLUME,50,2025-04-23
NSE,ASHOKLEY,Ashok Leyland Limited,ASHOKLEY.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,31842714.17638691,13,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,MOTHERSON,Samvardhana Motherson International Limited,MOTHERSON.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,29910321.295874823,14,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,TMPV,Tata Motors Passenger Vehicles Limited,TMPV.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,29809552.752489332,15,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,TATAPOWER,Tata Power Company Limited,TATAPOWER.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,29571777.91891892,16,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,VMM,Vishal Mega Mart Limited,VMM.NS,429,2024-12-18,2026-09-04,214,2024-12-18,2025-10-28,27775623.389671363,17,FIRST_HALF_AVG_VOLUME,50,2025-10-28
NSE,JIOFIN,Jio Financial Services Limited,JIOFIN.NS,755,2023-08-21,2026-09-04,377,2023-08-21,2025-02-27,25898934.82180851,18,FIRST_HALF_AVG_VOLUME,50,2025-02-27
NSE,BEL,Bharat Electronics Limited,BEL.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,24860234.455192033,19,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,SBIN,State Bank of India,SBIN.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,22637081.611664295,20,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,NATIONALUM,National Aluminium Company Limited,NATIONALUM.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,21672856.056899004,21,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,HDFCBANK,HDFC Bank Limited,HDFCBANK.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,20290748.998577524,22,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,ITC,ITC Limited,ITC.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,20094260.624466572,23,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,ONGC,Oil & Natural Gas Corporation Limited,ONGC.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,19934773.045519203,24,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,IOC,Indian Oil Corporation Limited,IOC.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,19229838.34566145,25,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,GAIL,GAIL (India) Limited,GAIL.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,18761049.816500712,26,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,MAHABANK,Bank of Maharashtra,MAHABANK.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,18080137.489331435,27,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,SAMMAANCAP,Sammaan Capital Limited,SAMMAANCAP.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,17919003.516358465,28,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,KOTAKBANK,Kotak Mahindra Bank Limited,KOTAKBANK.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,17878461.83499289,29,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,BAJAJHFL,Bajaj Housing Finance Limited,BAJAJHFL.NS,493,2024-09-16,2026-09-04,246,2024-09-16,2025-09-10,17541751.375510205,30,FIRST_HALF_AVG_VOLUME,50,2025-09-10
NSE,GMRAIRPORT,GMR AIRPORTS LIMITED,GMRAIRPORT.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,17159013.212553494,31,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,NBCC,NBCC (India) Limited,NBCC.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,17126379.6628734,32,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,UNIONBANK,Union Bank of India,UNIONBANK.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,16490908.51778094,33,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,POWERGRID,Power Grid Corporation of India Limited,POWERGRID.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,16449837.118065434,34,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,NTPC,NTPC Limited,NTPC.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,15894011.085348506,35,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,SWIGGY,Swiggy Limited,SWIGGY.NS,452,2024-11-13,2026-09-04,226,2024-11-13,2025-10-10,15864873.506666666,36,FIRST_HALF_AVG_VOLUME,50,2025-10-10
NSE,ICICIBANK,ICICI Bank Limited,ICICIBANK.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,15703228.839260314,37,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,WIPRO,Wipro Limited,WIPRO.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,15510549.536273114,38,FIRST_HALF_AVG_VOLUME,50,2023-11-02
NSE,RVNL,Rail Vikas Nigam Limited,RVNL.NS,1407,2021-01-01,2026-09-04,703,2021-01-01,2023-11-02,15365600.836415363,39,FIRST_HALF_AVG_VOLUME,50,2023-11-02
