exchange,instrument_type,symbol,name,data_symbol
NSE,INDEX,NIFTY 50,NIFTY 50,^NSEI
NSE,INDEX,NIFTY BANK,NIFTY Bank,^NSEBANK
NSE,INDEX,NIFTY NEXT 50,NIFTY Next 50,^NSMIDCP
NSE,INDEX,NIFTY 100,NIFTY 100,^CNX100
NSE,INDEX,NIFTY 200,NIFTY 200,^CNX200
NSE,INDEX,NIFTY 500,NIFTY 500,^CRSLDX
NSE,INDEX,NIFTY MIDCAP 150,NIFTY Midcap 150,^NSEMDCP50
NSE,INDEX,NIFTY INDIA VIX,India VIX,^INDIAVIX
BSE,INDEX,SENSEX,BSE SENSEX,^BSESN
BSE,INDEX,BSE 100,BSE 100,BSE-100.BO
BSE,INDEX,BSE 200,BSE 200,BSE-200.BO
BSE,INDEX,BSE 500,BSE 500,BSE-500.BO
