exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,latest_close,avg_volume,liquidity_status,liquidity_reason
NSE,STOCK,20MICRONS,20 Microns Limited,INE144J01027,,EQ,20MICRONS.NS,217.82000732421875,221995.05,PASS,PASS
NSE,STOCK,21STCENMGM,21st Century Management Services Limited,INE253B01015,,EQ,21STCENMGM.NS,38.09999847412109,9431.15,FAIL,PRICE_TOO_LOW
NSE,STOCK,360ONE,360 ONE WAM LIMITED,INE466L01038,,EQ,360ONE.NS,1137.0,763869.25,PASS,PASS
NSE,STOCK,3BBLACKBIO,3B Blackbio Dx Limited,INE994E01018,,EQ,3BBLACKBIO.NS,1486.199951171875,25732.384615384617,FAIL,VOLUME_TOO_LOW
NSE,STOCK,3IINFOLTD,3i Infotech Limited,INE748C01038,,BE,3IINFOLTD.NS,21.790000915527344,615509.25,FAIL,PRICE_TOO_LOW
NSE,STOCK,3MINDIA,3M India Limited,INE470A01017,,EQ,3MINDIA.NS,32820.0,3851.65,FAIL,VOLUME_TOO_LOW
NSE,STOCK,3PLAND,3P Land Holdings Limited,INE105C01023,,EQ,3PLAND.NS,32.45000076293945,5923.25,FAIL,PRICE_TOO_LOW
NSE,STOCK,5PAISA,5Paisa Capital Limited,INE618L01018,,EQ,5PAISA.NS,342.45001220703125,78106.8,FAIL,VOLUME_TOO_LOW
NSE,STOCK,63MOONS,63 moons technologies limited,INE111B01023,,EQ,63MOONS.NS,876.5,360181.65,PASS,PASS
NSE,STOCK,A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,,EQ,A2ZINFRA.NS,15.979999542236328,444127.15,FAIL,PRICE_TOO_LOW
NSE,STOCK,AAATECH,AAA Technologies Limited,INE0D0U01013,,EQ,AAATECH.NS,93.16999816894533,23308.2,FAIL,VOLUME_TOO_LOW
NSE,STOCK,AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,,EQ,AADHARHFC.NS,478.6499938964844,349453.55,PASS,PASS
NSE,STOCK,AAKASH,Aakash Exploration Services Limited,INE087Z01024,,EQ,AAKASH.NS,8.770000457763672,127090.4,FAIL,PRICE_TOO_LOW
NSE,STOCK,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,,EQ,AAREYDRUGS.NS,94.44000244140624,199441.35,PASS,PASS
NSE,STOCK,AARNAV,Aarnav Fashions Limited,INE750R01016,,BE,AARNAV.NS,32.16999816894531,37252.75,FAIL,PRICE_TOO_LOW
NSE,STOCK,AARON,Aaron Industries Limited,INE721Z01010,,EQ,AARON.NS,128.97999572753906,16463.75,FAIL,VOLUME_TOO_LOW
NSE,STOCK,AARTECH,Aartech Solonics Limited,INE01C001026,,BE,AARTECH.NS,49.15999984741211,103494.95,FAIL,PRICE_TOO_LOW
NSE,STOCK,AARTIDRUGS,Aarti Drugs Limited,INE767A01016,,EQ,AARTIDRUGS.NS,425.8500061035156,222798.0,PASS,PASS
NSE,STOCK,AARTIIND,Aarti Industries Limited,INE769A01020,,EQ,AARTIIND.NS,501.8999938964844,1341668.7,PASS,PASS
NSE,STOCK,AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,,EQ,AARTIPHARM.NS,868.0999755859375,1434362.0,PASS,PASS
NSE,STOCK,AARTISURF,Aarti Surfactants Limited,INE09EO01013,,BE,AARTISURF.NS,544.25,46162.05,FAIL,VOLUME_TOO_LOW
NSE,STOCK,AARVI,Aarvi Encon Limited,INE754X01016,,EQ,AARVI.NS,141.35000610351562,31773.5,FAIL,VOLUME_TOO_LOW
NSE,STOCK,AASTHA,Aastha Spintex Limited,INE2FMX01012,,EQ,AASTHA.NS,80.05000305175781,1256202.7,PASS,PASS
NSE,STOCK,AAVAS,Aavas Financiers Limited,INE216P01012,,EQ,AAVAS.NS,1297.800048828125,141215.55,PASS,PASS
NSE,STOCK,ABAN,Aban Offshore Limited,INE421A01028,,BE,ABAN.NS,14.779999732971191,24894.0,FAIL,PRICE_TOO_LOW
NSE,STOCK,ABANSENT,Abans Enterprises Limited,INE365O01028,,EQ,ABANSENT.NS,27.450000762939453,10944.615384615385,FAIL,PRICE_TOO_LOW
NSE,STOCK,ABB,ABB India Limited,INE117A01022,,EQ,ABB.NS,7432.0,165969.35,PASS,PASS
NSE,STOCK,ABBOTINDIA,Abbott India Limited,INE358A01014,,EQ,ABBOTINDIA.NS,25945.0,9456.1,FAIL,VOLUME_TOO_LOW
NSE,STOCK,ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,,EQ,ABCAPITAL.NS,402.0,3145167.2,PASS,PASS
NSE,STOCK,ABCOTS,A B Cotspin India Limited,INE08PH01015,,EQ,ABCOTS.NS,207.4600067138672,17521.15,FAIL,VOLUME_TOO_LOW
NSE,STOCK,ABDL,Allied Blenders and Distillers Limited,INE552Z01027,,EQ,ABDL.NS,609.4000244140625,336395.45,PASS,PASS
NSE,STOCK,ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,,EQ,ABFRL.NS,52.970001220703125,6078736.35,PASS,PASS
NSE,STOCK,ABINFRA,A B Infrabuild Limited,INE00YB01025,,BE,ABINFRA.NS,11.18000030517578,10584816.25,FAIL,PRICE_TOO_LOW
NSE,STOCK,ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,,EQ,ABLBL.NS,86.06999969482422,934734.05,PASS,PASS
NSE,STOCK,ABMINTLLTD,ABM International Limited,INE251C01025,,BE,ABMINTLLTD.NS,57.0,5981.7,FAIL,VOLUME_TOO_LOW
NSE,STOCK,ABMKNO,ABM Knowledgeware Limited,INE850B01026,,EQ,ABMKNO.NS,188.0,916.4615384615385,FAIL,VOLUME_TOO_LOW
NSE,STOCK,ABREL,Aditya Birla Real Estate Limited,INE055A01016,,EQ,ABREL.NS,1373.5999755859375,220389.85,PASS,PASS
NSE,STOCK,ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,,EQ,ABSLAMC.NS,1045.199951171875,199484.65,PASS,PASS
NSE,STOCK,ACC,ACC Limited,INE012A01025,,EQ,ACC.NS,1272.0,123423.25,PASS,PASS
NSE,STOCK,ACCELYA,Accelya Solutions India Limited,INE793A01012,,EQ,ACCELYA.NS,1129.5999755859375,4693.25,FAIL,VOLUME_TOO_LOW
NSE,STOCK,ACCURACY,Accuracy Shipping Limited,INE648Z01023,,BE,ACCURACY.NS,4.21999979019165,58587.0,FAIL,PRICE_TOO_LOW
NSE,STOCK,ACE,Action Construction Equipment Limited,INE731H01025,,EQ,ACE.NS,1125.4000244140625,360603.85,PASS,PASS
NSE,STOCK,ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,,EQ,ACEINTEG.NS,17.020000457763672,4244.15,FAIL,PRICE_TOO_LOW
NSE,STOCK,ACGL,Automobile Corporation of Goa Limited,INE451C01013,,EQ,ACGL.NS,1790.9000244140625,590.7692307692307,FAIL,VOLUME_TOO_LOW
NSE,STOCK,ACI,Archean Chemical Industries Limited,INE128X01021,,EQ,ACI.NS,495.2000122070313,394762.55,PASS,PASS
NSE,STOCK,ACL,Andhra Cements Limited,INE666E01020,,EQ,ACL.NS,43.58000183105469,13035.0,FAIL,PRICE_TOO_LOW
NSE,STOCK,ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,,EQ,ACMESOLAR.NS,418.0,2133653.4,PASS,PASS
NSE,STOCK,ACSTECH,ACS Technologies Limited,INE366C01021,,BE,ACSTECH.NS,50.68999862670898,266479.1538461539,PASS,PASS
NSE,STOCK,ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,,EQ,ACUTAAS.NS,3168.5,260022.2,PASS,PASS
