variant,direction,signal_date,entry_date,exit_date,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime,rsi,extension_pct,symbol,exchange,data_symbol
BASE_CURRENT,SHORT,2026-03-30,2026-04-01,2026-04-02,158.5,162.46249999999998,150.575,162.46249999999998,STOP_LOSS,2,-2.499999999999986,-2.6499999999999857,BEAR,37.92018520241189,4.825733324354404,GROWW,BSE,GROWW.BO
BASE_CURRENT,LONG,2026-04-08,2026-04-09,2026-04-10,182.0500030517578,177.49875297546387,191.15250320434572,191.15250320434572,TARGET,2,5.000000000000009,4.8500000000000085,BEAR,65.43438873452673,6.458272550444103,GROWW,BSE,GROWW.BO
BASE_CURRENT,LONG,2026-07-15,2026-07-16,2026-07-16,219.60000610351562,214.11000595092773,230.58000640869142,214.11000595092773,STOP_LOSS,1,-2.5000000000000027,-2.6500000000000026,NEUTRAL,64.20438132317543,4.283896299022319,GROWW,BSE,GROWW.BO
EMA_MACD,SHORT,2026-03-30,2026-04-01,2026-04-02,158.5,162.46249999999998,150.575,162.46249999999998,STOP_LOSS,2,-2.499999999999986,-2.6499999999999857,BEAR,37.92018520241189,4.825733324354404,GROWW,BSE,GROWW.BO
EMA_MACD,LONG,2026-04-06,2026-04-07,2026-04-08,167.3000030517578,163.11750297546385,175.6650032043457,175.6650032043457,TARGET,2,5.000000000000003,4.850000000000002,BEAR,57.408548042609375,3.2031628173126445,GROWW,BSE,GROWW.BO
EMA_MACD,LONG,2026-07-13,2026-07-14,2026-07-14,208.35000610351562,203.14125595092773,218.76750640869142,203.14125595092773,STOP_LOSS,1,-2.5000000000000027,-2.6500000000000026,NEUTRAL,59.86049925122192,2.751450138035779,GROWW,BSE,GROWW.BO
EMA_MACD,SHORT,2026-08-31,2026-09-01,2026-09-04,193.25,198.08124999999998,183.58749999999998,194.10000610351562,TIME_EXIT,4,-0.43984791902490294,-0.589847919024903,NEUTRAL,44.9318132482961,1.094142925185655,GROWW,BSE,GROWW.BO
RSI_ZONE,SHORT,2026-03-30,2026-04-01,2026-04-02,158.5,162.46249999999998,150.575,162.46249999999998,STOP_LOSS,2,-2.499999999999986,-2.6499999999999857,BEAR,37.92018520241189,4.825733324354404,GROWW,BSE,GROWW.BO
RSI_ZONE,LONG,2026-07-15,2026-07-16,2026-07-16,219.60000610351562,214.11000595092773,230.58000640869142,214.11000595092773,STOP_LOSS,1,-2.5000000000000027,-2.6500000000000026,NEUTRAL,64.20438132317543,4.283896299022319,GROWW,BSE,GROWW.BO
RSI_ZONE_NO_NEUTRAL,SHORT,2026-03-30,2026-04-01,2026-04-02,158.5,162.46249999999998,150.575,162.46249999999998,STOP_LOSS,2,-2.499999999999986,-2.6499999999999857,BEAR,37.92018520241189,4.825733324354404,GROWW,BSE,GROWW.BO
