trades,wins,losses,win_rate_pct,avg_net_pct,median_net_pct,profit_factor,avg_winner_pct,avg_loser_pct,avg_holding_days,feature,bucket,direction
194,65,129,33.50515463917525,-0.17192291379304883,-2.650000000000002,0.8999800222440557,4.617089059872472,-2.5849909625392415,3.814432989690722,rsi,<60,LONG
291,131,160,45.017182130584196,0.5408399133107086,-2.649999999999991,1.385241510609267,4.3199910591049315,-2.553340087308311,4.268041237113402,rsi,60-65,LONG
80,16,64,20.0,-1.1177794557180485,-2.650000000000002,0.4646084610821065,4.850000000000004,-2.6097243196475617,2.9875,rsi,65-70,LONG
18,6,12,33.33333333333333,-0.15000000000000016,-2.650000000000002,0.9150943396226416,4.850000000000004,-2.650000000000002,1.7777777777777777,rsi,70-75,LONG
1,0,1,0.0,-2.650000000000013,-2.650000000000013,0.0,0.0,-2.650000000000013,1.0,rsi,>75,LONG
6,2,4,33.33333333333333,-0.021630295250320675,-2.5890243902438934,0.9874680814140864,5.113157894736836,-2.589024390243899,2.0,rsi,<25,SHORT
12,10,2,83.33333333333334,3.829460847240059,5.1131578947368475,9.874680814140913,5.113157894736849,-2.5890243902438934,3.0,rsi,25-30,SHORT
45,27,18,60.0,1.821001216779971,3.723529131281384,2.758385536692865,4.761018288129216,-2.589024390243895,4.222222222222222,rsi,30-35,SHORT
271,90,181,33.210332103321036,-0.20390285955343662,-2.5890243902438934,0.8789173327639651,4.456728189715293,-2.5213437127809826,4.450184501845018,rsi,35-40,SHORT
191,69,122,36.12565445026178,0.06505494597742174,-2.5890243902438934,1.0405146005046488,4.62488794475978,-2.513866995956862,3.9162303664921465,rsi,>40,SHORT
