trades,wins,losses,win_rate_pct,avg_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,variant,period,period_start,period_end
112,39,73,34.82142857142857,-0.014518958069565364,0.1354810419304347,4.776945940325963,-2.5743426709110113,0.9913470487253012,-8.16293208975749,-39.34598521163652,3.517857142857143,34,72,6,CURRENT,PERIOD_1,2024-10-24,2025-04-11
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CURRENT_REGIME,PERIOD_1,2024-10-24,2025-04-11
166,60,106,36.144578313253014,0.03870940356409237,0.1887094035640924,4.6753714693877475,-2.585816294071939,1.0234434235922143,-3.7648415898862586,-47.79759222116606,3.5120481927710845,51,105,10,EMA_MACD,PERIOD_1,2024-10-24,2025-04-11
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,EMA_MACD_REGIME,PERIOD_1,2024-10-24,2025-04-11
108,36,72,33.33333333333333,-0.26580965846087345,-0.11580965846087349,4.121558346780271,-2.4594936610814457,0.8378875725518258,-29.03796560223324,-40.27228252831154,5.268518518518518,26,65,17,CURRENT,PERIOD_2,2025-04-12,2025-09-28
48,15,33,31.25,-0.27368951548839077,-0.1236895154883907,4.236349895292538,-2.3237074294797218,0.8286815992151302,-14.395423018689046,-38.580831987842814,6.458333333333333,11,28,9,CURRENT_REGIME,PERIOD_2,2025-04-12,2025-09-28
158,52,106,32.91139240506329,-0.2301010329877892,-0.08010103298778923,4.2495446505024566,-2.427663066398098,0.858719774680919,-36.060036109627006,-50.69492757487445,5.0,40,94,24,EMA_MACD,PERIOD_2,2025-04-12,2025-09-28
60,19,41,31.666666666666664,-0.2672358419342399,-0.11723584193423983,4.153816940263655,-2.316016399538143,0.8311424556695828,-17.324597767182194,-38.37912353085886,6.35,14,34,12,EMA_MACD_REGIME,PERIOD_2,2025-04-12,2025-09-28
105,35,70,33.33333333333333,-0.2295233246202421,-0.07952332462024209,4.540444140178622,-2.6145070570196745,0.8683174382696752,-26.119203178825458,-51.07073362787497,3.723809523809524,29,69,7,CURRENT,PERIOD_3,2025-09-29,2026-03-17
88,31,57,35.22727272727273,-0.11181162237881771,0.038188377621182316,4.475034555549717,-2.6064121752873195,0.9337704704841686,-13.975044091843369,-49.2530179921972,3.875,25,56,7,CURRENT_REGIME,PERIOD_3,2025-09-29,2026-03-17
172,69,103,40.116279069767444,0.27025178870174216,0.4202517887017423,4.552162338372853,-2.5982125601070587,1.1736941218833834,42.5795305715178,-49.55351041016939,3.796511627906977,60,102,10,EMA_MACD,PERIOD_3,2025-09-29,2026-03-17
128,52,76,40.625,0.25362440493189337,0.40362440493189333,4.404185046160737,-2.5862328759088946,1.1651656726259636,27.720613072317924,-49.55351041016939,4.140625,43,75,10,EMA_MACD_REGIME,PERIOD_3,2025-09-29,2026-03-17
110,52,58,47.27272727272727,0.7733740236051257,0.9233740236051258,4.52196347678045,-2.5874303137244747,1.5668727888406342,117.35030893300804,-31.57273436685649,3.5090909090909093,45,57,8,CURRENT,PERIOD_4,2026-03-18,2026-09-03
72,36,36,50.0,1.0594959162182351,1.209495916218235,4.678347717285252,-2.559355884848782,1.8279395003175456,103.66140620597895,-25.3923667938597,3.6666666666666665,33,35,4,CURRENT_REGIME,PERIOD_4,2026-03-18,2026-09-03
178,73,105,41.01123595505618,0.3764320415908059,0.5264320415908059,4.637333729052492,-2.5859091315968428,1.2467766285271291,74.21338721673443,-31.772942563709485,3.8202247191011236,66,103,9,EMA_MACD,PERIOD_4,2026-03-18,2026-09-03
113,51,62,45.13274336283185,0.7229267620891158,0.8729267620891156,4.789870726331357,-2.6224626278520833,1.502425586721101,109.09819480916974,-27.096086544977428,4.088495575221239,49,62,2,EMA_MACD_REGIME,PERIOD_4,2026-03-18,2026-09-03
