trades,wins,losses,win_rate_pct,avg_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,variant,period,direction
33,11,22,33.33333333333333,-0.20424413931703225,-0.054244139317032314,4.68726758204891,-2.650000000000004,0.8843901098205477,-8.343076377876313,-20.353198495537683,3.727272727272727,10,22,1,CURRENT,PERIOD_1,LONG
79,28,51,35.44303797468354,0.06473333283127522,0.2147333328312753,4.812176723934804,-2.541706176009878,1.0394511382877842,0.19654193158549216,-25.64581252342184,3.430379746835443,24,50,5,CURRENT,PERIOD_1,SHORT
49,15,34,30.612244897959183,-0.46684642949514193,-0.316846429495142,4.481634996982543,-2.6500000000000035,0.7461101548805555,-22.583597704448078,-29.917792573372772,3.489795918367347,12,34,3,EMA_MACD,PERIOD_1,LONG
117,45,72,38.46153846153847,0.25043791484531025,0.40043791484531016,4.739950293522817,-2.5555073218281317,1.1592488537002121,24.30848703446282,-27.94583917614908,3.5213675213675213,39,71,7,EMA_MACD,PERIOD_1,SHORT
79,31,48,39.24050632911392,0.08612254320434795,0.23612254320434797,4.031679552468713,-2.462049691945555,1.0575712800683352,2.5510310025338434,-23.26674603454606,5.291139240506329,22,43,14,CURRENT,PERIOD_2,LONG
29,5,24,17.24137931034483,-1.2245215181695803,-1.0745215181695802,4.6788068715119255,-2.4543815993532276,0.3971474655048948,-30.803197487099432,-30.63469307072365,5.206896551724138,4,22,3,CURRENT,PERIOD_2,SHORT
29,11,18,37.93103448275862,0.1832246940951713,0.3332246940951712,4.114942906051388,-2.2194919909891837,1.133001309166744,3.8812694880374643,-19.83324302357853,6.724137931034483,8,14,7,CURRENT_REGIME,PERIOD_2,LONG
19,4,15,21.052631578947366,-0.9710848880106697,-0.8210848880106695,4.570219115705698,-2.448765955668368,0.4976894973161614,-17.593828605291726,-25.62146933065418,6.052631578947368,3,14,2,CURRENT_REGIME,PERIOD_2,SHORT
110,39,71,35.45454545454545,-0.04952304862341361,0.1004769513765863,4.298486806751195,-2.4378664903080587,0.9685274602670131,-10.852717119315825,-32.108213872464816,4.945454545454545,31,63,16,EMA_MACD,PERIOD_2,LONG
48,13,35,27.083333333333332,-0.6439255804894835,-0.4939255804894834,4.102718181756234,-2.40696469218075,0.6331072317654546,-28.276037334810177,-34.91555007256565,5.125,9,31,8,EMA_MACD,PERIOD_2,SHORT
41,13,28,31.70731707317073,-0.1932326941793323,-0.04323269417933218,4.346112283527962,-2.300785719543434,0.8770211970561581,-9.55238159840981,-26.96407717900666,5.7317073170731705,11,23,7,EMA_MACD_REGIME,PERIOD_2,LONG
19,6,13,31.57894736842105,-0.4269268449843037,-0.2769268449843035,3.737177029857658,-2.348820941065209,0.734347564218815,-8.593057845109275,-20.04175339865597,7.684210526315789,3,11,5,EMA_MACD_REGIME,PERIOD_2,SHORT
51,9,42,17.647058823529413,-1.4748907254225003,-1.3248907254224997,4.008952555939178,-2.6500000000000026,0.3241740611271569,-53.94343721039251,-58.7226342627639,3.0784313725490198,7,42,2,CURRENT,PERIOD_3,LONG
54,26,28,48.148148148148145,0.9466569983596683,1.0966569983596683,4.724421996261508,-2.561267642549183,1.7128093953807046,60.41317967793607,-19.38889903931782,4.333333333333333,22,27,5,CURRENT,PERIOD_3,SHORT
37,8,29,21.62162162162162,-1.2329574863931758,-1.0829574863931757,3.9038216254315747,-2.650000000000004,0.40638351338259665,-37.718987763513866,-44.18176336096869,3.2432432432432434,6,29,2,CURRENT_REGIME,PERIOD_3,LONG
51,23,28,45.09803921568628,0.701568710337481,0.8515687103374812,4.673717313851681,-2.561267642549183,1.4989159557558598,38.12388851599386,-19.38889903931782,4.333333333333333,19,27,5,CURRENT_REGIME,PERIOD_3,SHORT
